,area,year,pop_estimate
224,Iowa,1995,2867373
225,Kansas,1995,2601007
226,Kentucky,1995,3887427
227,Louisiana,1995,4378779
228,Maine,1995,1243480
229,Maryland,1995,5070033
230,Massachusetts,1995,6141445
231,Michigan,1995,9676211
232,Minnesota,1995,4660180
233,Mississippi,1995,2722659
234,Missouri,1995,5378247
235,Montana,1995,876553
236,Nebraska,1995,1656992
237,Nevada,1995,1581578
238,New Hampshire,1995,1157561
239,New Jersey,1995,8083242
240,New Mexico,1995,1720394
241,New York,1995,18524104
242,North Carolina,1995,7344674
243,North Dakota,1995,647832
244,Ohio,1995,11202751
245,Oklahoma,1995,3308208
246,Oregon,1995,3184369
247,Pennsylvania,1995,12198403
248,Rhode Island,1995,1017002
249,South Carolina,1995,3748582
250,South Dakota,1995,737925
251,Tennessee,1995,5326936
252,Texas,1995,18958751
253,Utah,1995,2014177
254,Vermont,1995,589002
255,Virginia,1995,6670693
256,Washington,1995,5481027
257,West Virginia,1995,1823700
258,Wisconsin,1995,5184836
259,Wyoming,1995,485160
260,United States,1996,269394284
261,Alabama,1996,4331102
262,Alaska,1996,608569
263,Arizona,1996,4586940
264,Arkansas,1996,2572109
265,California,1996,32018834
266,Colorado,1996,3919972
267,Connecticut,1996,3336685
268,Delaware,1996,740977
269,District of Columbia,1996,572377
270,Florida,1996,14853360
271,Georgia,1996,7501069
272,Hawaii,1996,1203755
273,Idaho,1996,1203083
274,Illinois,1996,12101997
275,Indiana,1996,5906013
276,Iowa,1996,2880000
277,Kansas,1996,2614554
278,Kentucky,1996,3919535
279,Louisiana,1996,4398877
280,Maine,1996,1249060
281,Maryland,1996,5111986
282,Massachusetts,1996,6179756
283,Michigan,1996,9758645
284,Minnesota,1996,4712827
285,Mississippi,1996,2748085
286,Missouri,1996,5431553
287,Montana,1996,886254
288,Nebraska,1996,1673740
289,Nevada,1996,1666320
290,New Hampshire,1996,1174719
291,New Jersey,1996,8149596
292,New Mexico,1996,1752326
293,New York,1996,18588460
294,North Carolina,1996,7500670
295,North Dakota,1996,650382
296,Ohio,1996,11242827
297,Oklahoma,1996,3340129
298,Oregon,1996,3247111
299,Pennsylvania,1996,12220464
300,Rhode Island,1996,1020893
301,South Carolina,1996,3796200
302,South Dakota,1996,742213
303,Tennessee,1996,5416643
304,Texas,1996,19340342
305,Utah,1996,2067976
306,Vermont,1996,593701
307,Virginia,1996,6750884
308,Washington,1996,5569753
309,West Virginia,1996,1822808
