,area,year,pop_estimate
980,Texas,2009,24801761
981,Utah,2009,2723421
982,Vermont,2009,624817
983,Virginia,2009,7925937
984,Washington,2009,6667426
985,West Virginia,2009,1847775
986,Wisconsin,2009,5669264
987,Wyoming,2009,559851
988,United States,2010,309327143
989,Alabama,2010,4785514
990,Alaska,2010,713982
991,Arizona,2010,6407342
992,Arkansas,2010,2921998
993,California,2010,37319550
994,Colorado,2010,5047539
995,Connecticut,2010,3579173
996,Delaware,2010,899647
997,District of Columbia,2010,605282
998,Florida,2010,18846143
999,Georgia,2010,9712209
1000,Hawaii,2010,1364004
1001,Idaho,2010,1570819
1002,Illinois,2010,12840545
1003,Indiana,2010,6490555
1004,Iowa,2010,3050819
1005,Kansas,2010,2858266
1006,Kentucky,2010,4348464
1007,Louisiana,2010,4544635
1008,Maine,2010,1327651
1009,Maryland,2010,5788784
1010,Massachusetts,2010,6566440
1011,Michigan,2010,9877597
1012,Minnesota,2010,5310934
1013,Mississippi,2010,2970615
1014,Missouri,2010,5996089
1015,Montana,2010,990730
1016,Nebraska,2010,1829591
1017,Nevada,2010,2702483
1018,New Hampshire,2010,1316807
1019,New Jersey,2010,8799451
1020,New Mexico,2010,2064614
1021,New York,2010,19399956
1022,North Carolina,2010,9574586
1023,North Dakota,2010,674752
1024,Ohio,2010,11539449
1025,Oklahoma,2010,3760014
1026,Oregon,2010,3837614
1027,Pennsylvania,2010,12711406
1028,Rhode Island,2010,1053994
1029,South Carolina,2010,4635846
1030,South Dakota,2010,816193
1031,Tennessee,2010,6355518
1032,Texas,2010,25241897
1033,Utah,2010,2775413
1034,Vermont,2010,625886
1035,Virginia,2010,8024004
1036,Washington,2010,6743009
1037,West Virginia,2010,1854265
1038,Wisconsin,2010,5690538
1039,Wyoming,2010,564531
1040,United States,2011,311583481
1041,Alabama,2011,4799642
1042,Alaska,2011,722349
1043,Arizona,2011,6473416
1044,Arkansas,2011,2941038
1045,California,2011,37636311
1046,Colorado,2011,5121900
1047,Connecticut,2011,3588632
1048,Delaware,2011,907590
1049,District of Columbia,2011,620290
1050,Florida,2011,19055607
1051,Georgia,2011,9803630
1052,Hawaii,2011,1379562
1053,Idaho,2011,1584272
1054,Illinois,2011,12867783
1055,Indiana,2011,6517250
1056,Iowa,2011,3066772
1057,Kansas,2011,2869677
1058,Kentucky,2011,4370817
1059,Louisiana,2011,4576244
1060,Maine,2011,1328473
1061,Maryland,2011,5840241
1062,Massachusetts,2011,6614218
1063,Michigan,2011,9883053
1064,Minnesota,2011,5346620
1065,Mississippi,2011,2979147
1066,Missouri,2011,6011182
1067,Montana,2011,997518
1068,Nebraska,2011,1840914
1069,Nevada,2011,2713114
1070,New Hampshire,2011,1320444
1071,New Jersey,2011,8828552
1072,New Mexico,2011,2080707
1073,New York,2011,19499921
1074,North Carolina,2011,9658913
1075,North Dakota,2011,685526
1076,Ohio,2011,11545735
1077,Oklahoma,2011,3788824
1078,Oregon,2011,3872672
1079,Pennsylvania,2011,12747052
1080,Rhode Island,2011,1053829
1081,South Carolina,2011,4672655
1082,South Dakota,2011,823740
1083,Tennessee,2011,6400298
1084,Texas,2011,25645504
1085,Utah,2011,2814797
1086,Vermont,2011,627197
1087,Virginia,2011,8102437
1088,Washington,2011,6827479
1089,West Virginia,2011,1856606
1090,Wisconsin,2011,5705840
1091,Wyoming,2011,567491
1092,United States,2012,313877662
1093,Alabama,2012,4816632
1094,Alaska,2012,730810
1095,Arizona,2012,6556344
1096,Arkansas,2012,2952876
1097,California,2012,37944551
1098,Colorado,2012,5193660
1099,Connecticut,2012,3595211
1100,Delaware,2012,915518
1101,District of Columbia,2012,635737
1102,Florida,2012,19302016
1103,Georgia,2012,9903580
1104,Hawaii,2012,1395199
1105,Idaho,2012,1595910
1106,Illinois,2012,12883029
1107,Indiana,2012,6538989
1108,Iowa,2012,3076844
1109,Kansas,2012,2886024
1110,Kentucky,2012,4387865
1111,Louisiana,2012,4602067
1112,Maine,2012,1328094
1113,Maryland,2012,5888375
1114,Massachusetts,2012,6664269
1115,Michigan,2012,9898289
1116,Minnesota,2012,5377500
1117,Mississippi,2012,2984599
1118,Missouri,2012,6026027
1119,Montana,2012,1004168
1120,Nebraska,2012,1853691
1121,Nevada,2012,2744670
1122,New Hampshire,2012,1324677
1123,New Jersey,2012,8845671
1124,New Mexico,2012,2087715
1125,New York,2012,19574362
1126,North Carolina,2012,9751810
1127,North Dakota,2012,702227
1128,Ohio,2012,11550971
1129,Oklahoma,2012,3819320
1130,Oregon,2012,3900102
1131,Pennsylvania,2012,12769123
1132,Rhode Island,2012,1054893
1133,South Carolina,2012,4719027
1134,South Dakota,2012,833859
1135,Tennessee,2012,6455752
1136,Texas,2012,26084120
1137,Utah,2012,2854146
1138,Vermont,2012,626361
1139,Virginia,2012,8187456
1140,Washington,2012,6898599
1141,West Virginia,2012,1857446
1142,Wisconsin,2012,5720825
1143,Wyoming,2012,576656
1144,United States,2013,316059947
1145,Alabama,2013,4831586
1146,Alaska,2013,737626
1147,Arizona,2013,6634690
1148,Arkansas,2013,2960459
1149,California,2013,38253768
1150,Colorado,2013,5270774
1151,Connecticut,2013,3595792
1152,Delaware,2013,924062
1153,District of Columbia,2013,651559
1154,Florida,2013,19551678
1155,Georgia,2013,9975592
1156,Hawaii,2013,1408822
1157,Idaho,2013,1612053
1158,Illinois,2013,12895778
1159,Indiana,2013,6570575
1160,Iowa,2013,3093935
1161,Kansas,2013,2894306
1162,Kentucky,2013,4406906
1163,Louisiana,2013,4626040
1164,Maine,2013,1328543
1165,Maryland,2013,5925197
1166,Massachusetts,2013,6715158
1167,Michigan,2013,9914802
1168,Minnesota,2013,5414722
1169,Mississippi,2013,2989839
1170,Missouri,2013,6042989
1171,Montana,2013,1014158
1172,Nebraska,2013,1865813
1173,Nevada,2013,2776956
1174,New Hampshire,2013,1327272
1175,New Jersey,2013,8857821
1176,New Mexico,2013,2092833
1177,New York,2013,19626488
1178,North Carolina,2013,9846717
1179,North Dakota,2013,723149
1180,Ohio,2013,11579692
1181,Oklahoma,2013,3853891
1182,Oregon,2013,3924110
1183,Pennsylvania,2013,12779538
1184,Rhode Island,2013,1055560
1185,South Carolina,2013,4766469
1186,South Dakota,2013,842751
1187,Tennessee,2013,6496943
1188,Texas,2013,26479646
1189,Utah,2013,2898773
1190,Vermont,2013,626603
1191,Virginia,2013,8255861
1192,Washington,2013,6966252
1193,West Virginia,2013,1854768
1194,Wisconsin,2013,5738012
1195,Wyoming,2013,582620
1196,United States,2014,318386329
1197,Alabama,2014,4843737
1198,Alaska,2014,737075
1199,Arizona,2014,6732873
1200,Arkansas,2014,2968759
1201,California,2014,38586706
1202,Colorado,2014,5352637
1203,Connecticut,2014,3595697
1204,Delaware,2014,933131
1205,District of Columbia,2014,663603
1206,Florida,2014,19853880
1207,Georgia,2014,10071204
1208,Hawaii,2014,1415335
1209,Idaho,2014,1632248
1210,Illinois,2014,12885092
1211,Indiana,2014,6596019
1212,Iowa,2014,3110643
1213,Kansas,2014,2901861
1214,Kentucky,2014,4416992
1215,Louisiana,2014,4645938
1216,Maine,2014,1331217
1217,Maryland,2014,5960064
1218,Massachusetts,2014,6764864
1219,Michigan,2014,9932033
1220,Minnesota,2014,5452665
1221,Mississippi,2014,2991892
1222,Missouri,2014,6059130
1223,Montana,2014,1022657
1224,Nebraska,2014,1879955
1225,Nevada,2014,2818935
1226,New Hampshire,2014,1334257
1227,New Jersey,2014,8867277
1228,New Mexico,2014,2090236
1229,New York,2014,19653431
1230,North Carolina,2014,9937295
1231,North Dakota,2014,738736
1232,Ohio,2014,11606573
1233,Oklahoma,2014,3879187
1234,Oregon,2014,3965447
1235,Pennsylvania,2014,12792392
1236,Rhode Island,2014,1056511
1237,South Carolina,2014,4826858
1238,South Dakota,2014,849670
1239,Tennessee,2014,6544617
1240,Texas,2014,26963092
1241,Utah,2014,2938327
1242,Vermont,2014,625693
1243,Virginia,2014,8315430
1244,Washington,2014,7057531
1245,West Virginia,2014,1850569
1246,Wisconsin,2014,5753199
1247,Wyoming,2014,583159
1248,United States,2015,320738994
1249,Alabama,2015,4854803
1250,Alaska,2015,738430
1251,Arizona,2015,6832810
1252,Arkansas,2015,2979732
1253,California,2015,38904296
1254,Colorado,2015,5454328
1255,Connecticut,2015,3588561
1256,Delaware,2015,942065
1257,District of Columbia,2015,677014
1258,Florida,2015,20219111
1259,Georgia,2015,10183353
1260,Hawaii,2015,1422999
1261,Idaho,2015,1652495
1262,Illinois,2015,12859585
1263,Indiana,2015,6611442
1264,Iowa,2015,3122541
1265,Kansas,2015,2910717
1266,Kentucky,2015,4429126
1267,Louisiana,2015,4666998
1268,Maine,2015,1329098
1269,Maryland,2015,5988528
1270,Massachusetts,2015,6797484
1271,Michigan,2015,9934483
1272,Minnesota,2015,5484002
1273,Mississippi,2015,2990231
1274,Missouri,2015,6075411
1275,Montana,2015,1031495
1276,Nebraska,2015,1892059
1277,Nevada,2015,2868531
1278,New Hampshire,2015,1337480
1279,New Jersey,2015,8870312
1280,New Mexico,2015,2090071
1281,New York,2015,19657321
1282,North Carolina,2015,10037218
1283,North Dakota,2015,755537
1284,Ohio,2015,11622315
1285,Oklahoma,2015,3910518
1286,Oregon,2015,4018542
1287,Pennsylvania,2015,12789838
1288,Rhode Island,2015,1056886
1289,South Carolina,2015,4896006
1290,South Dakota,2015,854663
1291,Tennessee,2015,6595354
1292,Texas,2015,27468531
1293,Utah,2015,2983626
1294,Vermont,2015,625810
1295,Virginia,2015,8367303
1296,Washington,2015,7167287
1297,West Virginia,2015,1843332
1298,Wisconsin,2015,5762927
1299,Wyoming,2015,586389
1300,United States,2016,323071755
1301,Alabama,2016,4866824
1302,Alaska,2016,742575
1303,Arizona,2016,6944767
1304,Arkansas,2016,2991815
1305,California,2016,39149186
1306,Colorado,2016,5543844
1307,Connecticut,2016,3579830
1308,Delaware,2016,949989
1309,District of Columbia,2016,687576
1310,Florida,2016,20627237
1311,Georgia,2016,10308442
1312,Hawaii,2016,1428885
1313,Idaho,2016,1684036
1314,Illinois,2016,12821709
1315,Indiana,2016,6637898
1316,Iowa,2016,3133210
1317,Kansas,2016,2912977
1318,Kentucky,2016,4440306
1319,Louisiana,2016,4681346
1320,Maine,2016,1332348
1321,Maryland,2016,6007014
1322,Massachusetts,2016,6827280
1323,Michigan,2016,9954117
1324,Minnesota,2016,5525360
1325,Mississippi,2016,2990595
1326,Missouri,2016,6091384
1327,Montana,2016,1042137
1328,Nebraska,2016,1906483
1329,Nevada,2016,2919555
1330,New Hampshire,2016,1343694
1331,New Jersey,2016,8873584
1332,New Mexico,2016,2092555
1333,New York,2016,19636391
1334,North Carolina,2016,10161802
1335,North Dakota,2016,756114
1336,Ohio,2016,11640060
1337,Oklahoma,2016,3928143
1338,Oregon,2016,4093271
1339,Pennsylvania,2016,12788468
1340,Rhode Island,2016,1057816
1341,South Carolina,2016,4963031
1342,South Dakota,2016,863693
1343,Tennessee,2016,6651277
1344,Texas,2016,27914064
1345,Utah,2016,3044241
1346,Vermont,2016,624366
1347,Virginia,2016,8417651
1348,Washington,2016,7299961
1349,West Virginia,2016,1832435
1350,Wisconsin,2016,5775170
1351,Wyoming,2016,585243
1352,United States,2017,325122128
1353,Alabama,2017,4877989
1354,Alaska,2017,740983
1355,Arizona,2017,7048088
1356,Arkansas,2017,3003855
1357,California,2017,39337785
1358,Colorado,2017,5617421
1359,Connecticut,2017,3575324
1360,Delaware,2017,957942
1361,District of Columbia,2017,697079
1362,Florida,2017,20977089
1363,Georgia,2017,10417031
1364,Hawaii,2017,1425763
1365,Idaho,2017,1719745
1366,Illinois,2017,12779893
1367,Indiana,2017,6662068
1368,Iowa,2017,3143734
1369,Kansas,2017,2910892
1370,Kentucky,2017,4455590
1371,Louisiana,2017,4673673
1372,Maine,2017,1335743
1373,Maryland,2017,6028186
1374,Massachusetts,2017,6863560
1375,Michigan,2017,9976752
1376,Minnesota,2017,5569283
1377,Mississippi,2017,2990674
1378,Missouri,2017,6111382
1379,Montana,2017,1053862
1380,Nebraska,2017,1916998
1381,Nevada,2017,2972097
1382,New Hampshire,2017,1350395
1383,New Jersey,2017,8888147
1384,New Mexico,2017,2092844
1385,New York,2017,19593849
1386,North Carolina,2017,10275758
1387,North Dakota,2017,756755
1388,Ohio,2017,11665706
1389,Oklahoma,2017,3933602
1390,Oregon,2017,4147294
1391,Pennsylvania,2017,12794679
1392,Rhode Island,2017,1056554
1393,South Carolina,2017,5027102
1394,South Dakota,2017,873732
1395,Tennessee,2017,6714748
1396,Texas,2017,28291024
1397,Utah,2017,3103540
1398,Vermont,2017,625132
1399,Virginia,2017,8471011
1400,Washington,2017,7427951
1401,West Virginia,2017,1818683
1402,Wisconsin,2017,5793147
1403,Wyoming,2017,579994
1404,United States,2018,326838199
1405,Alabama,2018,4891628
1406,Alaska,2018,736624
1407,Arizona,2018,7164228
1408,Arkansas,2018,3012161
1409,California,2018,39437463
1410,Colorado,2018,5697155
1411,Connecticut,2018,3574561
1412,Delaware,2018,966985
1413,District of Columbia,2018,704147
1414,Florida,2018,21254926
1415,Georgia,2018,10519389
1416,Hawaii,2018,1423102
1417,Idaho,2018,1752074
1418,Illinois,2018,12724685
1419,Indiana,2018,6698481
1420,Iowa,2018,3149900
1421,Kansas,2018,2912748
1422,Kentucky,2018,4464273
1423,Louisiana,2018,4664450
1424,Maine,2018,1340123
1425,Maryland,2018,6042153
1426,Massachusetts,2018,6885720
1427,Michigan,2018,9987286
1428,Minnesota,2018,5608762
1429,Mississippi,2018,2982879
1430,Missouri,2018,6125986
1431,Montana,2018,1061818
1432,Nebraska,2018,1925512
1433,Nevada,2018,3030725
1434,New Hampshire,2018,1355064
1435,New Jersey,2018,8891730
1436,New Mexico,2018,2093754
1437,New York,2018,19544098
1438,North Carolina,2018,10391358
1439,North Dakota,2018,760062
1440,Ohio,2018,11680892
1441,Oklahoma,2018,3943488
1442,Oregon,2018,4183538
1443,Pennsylvania,2018,12809107
1444,Rhode Island,2018,1059338
1445,South Carolina,2018,5091702
1446,South Dakota,2018,879386
1447,Tennessee,2018,6778180
1448,Texas,2018,28624564
1449,Utah,2018,3155153
1450,Vermont,2018,624802
1451,Virginia,2018,8510920
1452,Washington,2018,7526793
1453,West Virginia,2018,1805953
1454,Wisconsin,2018,5809319
1455,Wyoming,2018,579054
1456,United States,2019,328329953
1457,Alabama,2019,4907965
1458,Alaska,2019,733603
1459,Arizona,2019,7291843
1460,Arkansas,2019,3020985
1461,California,2019,39437610
1462,Colorado,2019,5758486
1463,Connecticut,2019,3566022
1464,Delaware,2019,976668
1465,District of Columbia,2019,708253
1466,Florida,2019,21492056
1467,Georgia,2019,10628020
1468,Hawaii,2019,1415615
1469,Idaho,2019,1789060
1470,Illinois,2019,12667017
1471,Indiana,2019,6731010
1472,Iowa,2019,3159596
1473,Kansas,2019,2912635
1474,Kentucky,2019,4472345
1475,Louisiana,2019,4658285
1476,Maine,2019,1345770
1477,Maryland,2019,6054954
1478,Massachusetts,2019,6894883
1479,Michigan,2019,9984795
1480,Minnesota,2019,5640053
1481,Mississippi,2019,2978227
1482,Missouri,2019,6140475
1483,Montana,2019,1070123
1484,Nebraska,2019,1932571
1485,Nevada,2019,3090771
1486,New Hampshire,2019,1360783
1487,New Jersey,2019,8891258
1488,New Mexico,2019,2099634
1489,New York,2019,19463131
1490,North Carolina,2019,10501384
1491,North Dakota,2019,763724
1492,Ohio,2019,11696507
1493,Oklahoma,2019,3960676
1494,Oregon,2019,4216116
1495,Pennsylvania,2019,12798883
1496,Rhode Island,2019,1058158
1497,South Carolina,2019,5157702
1498,South Dakota,2019,887127
1499,Tennessee,2019,6830325
1500,Texas,2019,28986794
1501,Utah,2019,3203383
1502,Vermont,2019,624046
1503,Virginia,2019,8556642
1504,Washington,2019,7614024
1505,West Virginia,2019,1795263
1506,Wisconsin,2019,5824581
1507,Wyoming,2019,580116
1508,United States,2020,331501080
1509,Alabama,2020,5024803
1510,Alaska,2020,732441
1511,Arizona,2020,7177986
1512,Arkansas,2020,3012232
1513,California,2020,39499738
1514,Colorado,2020,5784308
1515,Connecticut,2020,3600260
1516,Delaware,2020,991886
1517,District of Columbia,2020,690093
1518,Florida,2020,21569932
1519,Georgia,2020,10725800
1520,Hawaii,2020,1451911
1521,Idaho,2020,1847772
1522,Illinois,2020,12785245
1523,Indiana,2020,6785644
1524,Iowa,2020,3188669
1525,Kansas,2020,2935880
1526,Kentucky,2020,4503958
1527,Louisiana,2020,4651203
1528,Maine,2020,1362280
1529,Maryland,2020,6172679
1530,Massachusetts,2020,7022220
1531,Michigan,2020,10067664
1532,Minnesota,2020,5707165
1533,Mississippi,2020,2956870
1534,Missouri,2020,6154481
1535,Montana,2020,1086193
1536,Nebraska,2020,1961455
1537,Nevada,2020,3114071
1538,New Hampshire,2020,1377848
1539,New Jersey,2020,9279743
1540,New Mexico,2020,2117566
1541,New York,2020,20154933
1542,North Carolina,2020,10457177
1543,North Dakota,2020,778962
1544,Ohio,2020,11790587
1545,Oklahoma,2020,3962031
1546,Oregon,2020,4241544
1547,Pennsylvania,2020,12989625
1548,Rhode Island,2020,1096229
1549,South Carolina,2020,5130729
1550,South Dakota,2020,887099
1551,Tennessee,2020,6920119
1552,Texas,2020,29217653
1553,Utah,2020,3281684
1554,Vermont,2020,642495
1555,Virginia,2020,8632044
1556,Washington,2020,7718785
1557,West Virginia,2020,1789798
1558,Wisconsin,2020,5892323
1559,Wyoming,2020,577267
