State,Per Capita
AL,0.3970315414394357
AK,0.9804168732545078
AZ,3.683274593427353
AR,2.1902821288720937
CA,2.926080298395881
CO,3.0509917803507807
CT,4.107094013058323
DE,2.2230941691574584
FL,0.7216330683684189
GA,0.1750374193965554
ID,1.7825096335096533
IL,0.7320561549373488
IN,1.4482582768345695
IA,0.5572274199157669
KS,2.029202320567785
KY,3.978416286762406
LA,0.2860515750989903
ME,4.594580955386619
MD,1.3819828136617294
MA,4.812348852650752
MI,3.108043383426151
MN,2.3912931322437823
MS,0.3702936933934556
MO,2.3682103451099543
MT,3.1290058845497764
NE,3.334078490766516
NV,2.516204542267241
NH,2.354179465935403
NJ,6.170839521692887
NM,1.1624448928467983
NY,3.603100955486703
NC,0.9817656867879196
ND,1.1856207910461918
OH,2.1404834840900984
OK,1.303186637071032
OR,3.4917529485769023
PA,0.4484161704849959
RI,1.897544008789424
SC,2.3512429015113963
SD,6.248522102002835
TN,2.312950730373197
TX,0.6893301244355763
UT,2.2699324388838704
VT,2.716149586346396
VA,2.1809560413977858
WA,3.440600479696824
WV,1.7796808978220482
WI,1.6342918718757349
WY,0.3542763816336038
