State,Per Capita
AL,0.020443091747778
AK,0.6787723451856035
AZ,2.358942233552589
AR,0.7303726460836589
CA,2.700477969386621
CO,1.7026041945497357
CT,2.601718085101919
DE,2.17169863027865
FL,0.6633756334884441
GA,0.351731455125388
ID,1.369805156631512
IL,0.8723202185358615
IN,1.4928757728804485
IA,0.4762055938283755
KS,2.5748880438678525
KY,5.241614928119316
LA,0.9647439676703576
ME,1.4924003244478306
MD,0.7944188106458079
MA,5.242734238394823
MI,4.395588551284103
MN,2.24648505320782
MS,0.3352465855973373
MO,1.0773775846043396
MT,1.1301371798180102
NE,2.0254353127895333
NV,1.2538254048123798
NH,0.9593642809490917
NJ,6.129290925387973
NM,2.1970107280989075
NY,2.675999680312696
NC,1.347273378513184
ND,1.3156821417200175
OH,3.081956412232901
OK,0.7607478455621014
OR,3.2747401840260566
PA,0.530872292658653
RI,1.2271815039203728
SC,1.2765868858782388
SD,2.27431412371814
TN,2.3457624318032275
TX,1.414868712061431
UT,1.3945440997631493
VT,6.882180274711029
VA,1.7624416631809483
WA,6.828937636520628
WV,4.70665626403345
WI,0.8262586371999885
WY,0.8634773268123526
