State,Per Capita
AL,0.2059815815389419
AK,1.083379602670531
AZ,4.039333744096499
AR,0.2013603908002464
CA,2.151433353272862
CO,1.9617448748956792
CT,2.591568040782921
DE,1.167647667623784
FL,0.3560987424224537
GA,0.4320777252836074
ID,2.0574948789557608
IL,0.6998670641393171
IN,0.9528934837513512
IA,0.1921511999362058
KS,2.1300593633802256
KY,4.244629753138655
LA,0.8570820043205503
ME,2.8590818735714
MD,0.6846423695439012
MA,6.119911426051168
MI,3.110378265280639
MN,1.987599566885643
MS,0.6688446477880806
MO,1.6459791773758188
MT,4.362599915656402
NE,1.004197014997947
NV,2.021940847074688
NH,0.9719771510602028
NJ,3.7202750027282017
NM,0.6219884396271705
NY,2.5435815999545413
NC,1.6040301206967906
ND,4.764822900797711
OH,3.579321331421494
OK,0.9461662112282824
OR,1.990771777425743
PA,0.4456663172746989
RI,1.7031165139854252
SC,1.1642142595413485
SD,1.8720829145522853
TN,3.3508436393255008
TX,0.6953411523899841
UT,1.575264460089837
VT,1.278343267125805
VA,1.888302598818281
WA,3.836877189374445
WV,2.278482660746952
WI,0.7808532018538495
WY,0.3410705180349563
