,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
anti_american_indian_or_alaska_native,0.02100026078764532,0.027489664265100286,0.02269667348474738,0.024579655096133298,0.029156346134797558,0.027190180048953877,0.02087048918585336,0.02033905999906667,0.018496391781692455,0.022264071983778447,0.014287424184230048,0.020631589764022292,0.03360188568406157,0.02955654456979933,0.04353710674232861,0.04133836139339027,0.049122805053940725,0.07507035180948048,0.056850466283068606,0.031200834023988266,0.03969105584992398
anti_arab,0.013525591693737665,0.08951762465814708,0.028283546957915965,0.004846692554167129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022084039651905814,0.012526776179815234,0.01803242210840862,0.03274673782635774,0.025198585055197977,0.03548330143904548,0.030601501075132233
anti_asian,0.09966225458543541,0.09868084607984717,0.07647033066399501,0.0817013887702459,0.07683554746111357,0.07171409987911585,0.06227484676423986,0.06335117048889619,0.04723185758539322,0.04190884138123002,0.04935655627279471,0.04416449683861022,0.04608258608099872,0.042586849165087204,0.04385259302307012,0.036014481516968795,0.03575394038736192,0.040778956538483215,0.044558473573215934,0.06026043434044792,0.09998510252270927
anti_atheism_agnosticism,0.0014237464940776488,0.0017621579657115566,0.0006983591841460732,0.003115730927678869,0.002058095021279828,0.001359509002447694,0.0023563455532415083,0.0023339904916961753,0.004624097945423114,0.003274128232908596,0.0016235709300261418,0.0012894743602513933,0.004160233465645718,0.0022246861504150034,0.0031548628074151166,0.0009395082134861425,0.0015545191472766053,0.0018535889335674189,0.0012291992709852673,0.001529452648234719,0.0033328367507569757
anti_bisexual,0.007474669093907657,0.00528647389713467,0.005586873473168586,0.0027695386023812167,0.00514523755319957,0.00883680851591001,0.006732415866404309,0.007668825901287433,0.009248195890846227,0.007857907758980629,0.008442568836135938,0.008059214751571208,0.01216068243804133,0.008580932294457869,0.010726533545211397,0.009708251539356805,0.007461691906927705,0.0074143557342696755,0.006145996354926336,0.009176715889408313,0.006968658660673677
anti_black_or_african_american,1.0468096097705912,1.0301575467549762,0.8914554985624625,0.8910990453161566,0.9484387889731207,0.9139299268954623,0.8913718607119306,0.8932515038934363,0.9753543737738896,0.753049493568977,0.7153453517695181,0.6776187763121072,0.6595570132842943,0.607339319063296,0.5233917397501678,0.5521176601253565,0.5580723738723014,0.6490650582375246,0.6010784435117956,0.6879478011759765,1.0916555284524894
anti_buddhist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031316940449538084,0.0006218076589106421,0.004633972333918547,0.002765698359716851,0.0018353431778816627,0.005453732864875051
anti_catholic,0.019932450917087084,0.012687537353123206,0.017808159195724867,0.025964424397323906,0.019551902702158366,0.022771775790998875,0.02524655949901616,0.02033905999906667,0.026093124120601854,0.017025466811124698,0.018833422788303245,0.023532907074587925,0.024001346917186837,0.022246861504150034,0.022084039651905814,0.016911147842750565,0.019276037426229905,0.02224306720280903,0.015057691069569522,0.021412337075286066,0.02454179789193773
anti_eastern_orthodox_russian_greek_other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01534530082027366,0.009948922542570274,0.00586969828963016,0.009833594167882138,0.016212198071288018,0.023935827573618278
anti_female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006400359177916491,0.004131559993627863,0.007571670737796279,0.005323879876421474,0.007150788077472384,0.016991231891034672,0.012599292527598989,0.021412337075286066,0.023026872096139104
anti_gay_male,0.32212264428506804,0.34925970880403057,0.2894698818285474,0.27383812931044277,0.2531456876174188,0.22873738966182453,0.2517923534035212,0.25907294457827545,0.2639038755995048,0.22526002242411136,0.24061321182987422,0.2469343399881418,0.23297307407616025,0.24249079039523538,0.19370857637528816,0.21170251743887744,0.2185653921070907,0.21378059033810898,0.22586536604354285,0.24777132901402446,0.249053800829294
anti_gender_non_conforming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012800718355832981,0.0025424984576171467,0.012934937510401976,0.012839945584310616,0.006218076589106421,0.004325040844990645,0.007989795261404236,0.015294526482347187,0.023026872096139104
anti_heterosexual,0.009254352211504717,0.005638905490276981,0.004539334696949476,0.0055390772047624335,0.009947459269519168,0.007137422262850394,0.01043524459292668,0.007668825901287433,0.010899659442783052,0.006875669289108051,0.006818997906109796,0.00580263462113127,0.008320466931291437,0.00667405845124501,0.005994239334088721,0.005950218685412235,0.006218076589106421,0.0098858076456929,0.006145996354926336,0.005811920063291932,0.006059703183194502
anti_hindu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015658470224769042,0.0034199421240085313,0.003089314889279031,0.0036875978129558016,0.00244712423717555,0.004847762546555601
anti_hispanic_or_latino,0.2039516852766232,0.213925977037383,0.17214553889200707,0.1495550845285857,0.16396157002862627,0.18387359258105063,0.19927950964556757,0.19938947343347324,0.189918308472735,0.15912263211935776,0.17339737532679195,0.13055927897545358,0.13728770436630872,0.10837399675593087,0.09685428818764408,0.094577160157605,0.11099266711554963,0.1377834440618448,0.15119151033118786,0.17772239772487436,0.200576175363738
anti_islamic_muslim,0.010322162082062953,0.17586336497801336,0.054472016363393716,0.05158265646935017,0.05419650222703546,0.04690306058444544,0.05251284375795361,0.03834412950643717,0.03468073459067335,0.03503317209212197,0.05195426976083654,0.052546080180244266,0.04768267587547785,0.04449372300830007,0.04921585979567581,0.08142404516879902,0.09793470627842614,0.0874276113665966,0.05869426518954651,0.06362523016656431,0.04665971451059766
anti_jehovahs_witness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031316940449538084,0.0006218076589106421,0.0021625204224953224,0.002765698359716851,0.002141233707528606,0.0033328367507569757
anti_jewish,0.3993608915887805,0.37111046757885385,0.3278796369565814,0.32230505485211414,0.3310102825891723,0.3184649838233723,0.3261855487272888,0.3244246783457684,0.34218324796131033,0.3051487513070811,0.28802148298663754,0.24822381434839322,0.2780956062804715,0.20022175353735028,0.1943395489367712,0.20982350101190517,0.219809007424912,0.3036796536161288,0.2655070425328177,0.3520799996236323,0.2860179902467805
anti_lesbian_female,0.06869576833924655,0.07224847659417383,0.06075724902070837,0.06369938785476799,0.05659761308519526,0.05472023734851968,0.054532568517874906,0.048346945899420776,0.05251654095159107,0.06089878513209988,0.04708355697075811,0.04448686542867307,0.054723070971185984,0.052756842995555796,0.04164418905787954,0.04321737782036255,0.04259382463537898,0.040778956538483215,0.040870875760260134,0.0391539877948088,0.041508966804882336
anti_male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022246861504150034,0.0031548628074151166,0.0021921858314676657,0.0021763268061872473,0.007723287223197579,0.007989795261404236,0.006117810592938876,0.011210450888909828
anti_mental_disability,0.00640685922334942,0.008105926642273161,0.011173746946337172,0.0034619232529765212,0.010976506780159082,0.011895703771417323,0.021880351565814006,0.013003661310878692,0.021799318885566105,0.02291889763036017,0.008117854650130709,0.013539480782639628,0.028481598341728382,0.022246861504150034,0.022084039651905814,0.009708251539356805,0.01834332593786394,0.027494902514583378,0.031037281592377994,0.0321185056129291,0.03363135266672948
anti_mormon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025053552359630468,0.0021763268061872473,0.003398246378206935,0.0024583985419705345,0.0033647958261163813,0.003029851591597251
anti_native_hawaiian_or_other_pacific_islander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009534369216064301,0.0009464588422245349,0.0009395082134861425,0.0027981344650978893,0.004633972333918547,0.003994897630702118,0.006729591652232763,0.009695525093111203
