state,year,population_estimate,total_incidents_per_capita,anti_american_indian_or_alaska_native_per_capita,anti_arab_per_capita,anti_asian_per_capita,anti_atheism_agnosticism_per_capita,anti_bisexual_per_capita,anti_black_or_african_american_per_capita,anti_buddhist_per_capita,anti_catholic_per_capita,anti_eastern_orthodox_russian_greek_other_per_capita,anti_female_per_capita,anti_gay_male_per_capita,anti_gender_non_conforming_per_capita,anti_heterosexual_per_capita,anti_hindu_per_capita,anti_hispanic_or_latino_per_capita,anti_islamic_muslim_per_capita,anti_jehovahs_witness_per_capita,anti_jewish_per_capita,anti_lesbian_female_per_capita,anti_male_per_capita,anti_mental_disability_per_capita,anti_mormon_per_capita,anti_multiple_races_group_per_capita,anti_multiple_religions_group_per_capita,anti_native_hawaiian_or_other_pacific_islander_per_capita,anti_other_christian_per_capita,anti_other_race_ethnicity_ancestry_per_capita,anti_other_religion_per_capita,anti_physical_disability_per_capita,anti_protestant_per_capita,anti_sikh_per_capita,anti_transgender_per_capita,anti_white_per_capita,unknown_motivation_per_capita,anti_lgbtq_grouped_per_capita
Alabama,2018,4891628,0.02044309174777804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02044309174777804,0.0,0.0
Alaska,2018,736624,0.6787723451856035,0.0,0.0,0.0,0.0,0.0,0.27150893807424137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13575446903712068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27150893807424137,0.0,0.0
Arizona,2018,7164228,2.358942233552589,0.0,0.0,0.013958238068358516,0.0,0.013958238068358516,0.8235360460331526,0.0,0.027916476136717033,0.0,0.027916476136717033,0.37687242784568,0.0,0.0,0.0,0.16749885682030222,0.055832952273434065,0.0,0.3629141897773214,0.08374942841015111,0.0,0.013958238068358516,0.0,0.1814570948886607,0.11166590454686813,0.0,0.0,0.027916476136717033,0.0,0.013958238068358516,0.013958238068358516,0.0,0.041874714205075554,0.19541533295701924,0.0,0.5722877608026992
Arkansas,2018,3012161,0.7303726460836589,0.0,0.0,0.0,0.0,0.0,0.2987888097614968,0.0,0.0,0.0,0.0,0.0,0.03319875664016631,0.0,0.0,0.06639751328033262,0.0,0.0,0.03319875664016631,0.0,0.0,0.03319875664016631,0.0,0.0,0.0,0.0,0.0,0.03319875664016631,0.0,0.0,0.0,0.0,0.0,0.19919253984099788,0.0,0.06639751328033262
California,2018,39437463,2.700477969386621,0.0050713201303035135,0.04057056104242811,0.08621244221515974,0.0025356600651517567,0.00760698019545527,0.7023778380470366,0.0,0.02535660065151757,0.0,0.010142640260607027,0.4335978711409504,0.0025356600651517567,0.0025356600651517567,0.012678300325758785,0.37781334970761177,0.0709984818242492,0.0025356600651517567,0.3169575081439696,0.06085584156364216,0.0,0.010142640260607027,0.0025356600651517567,0.06085584156364216,0.012678300325758785,0.00760698019545527,0.01521396039091054,0.10903338280152554,0.04310622110757987,0.00760698019545527,0.0025356600651517567,0.0,0.048177541237883384,0.12171168312728432,0.0,0.6516646367440014
Colorado,2018,5697155,1.7026041945497357,0.01755262056236841,0.03510524112473682,0.03510524112473682,0.01755262056236841,0.0,0.4212628934968418,0.0,0.0,0.0,0.0,0.1579735850613157,0.0,0.0,0.0,0.29839454956026296,0.08776310281184205,0.01755262056236841,0.12286834393657887,0.03510524112473682,0.0,0.0,0.0,0.07021048224947364,0.0,0.0,0.0,0.05265786168710523,0.01755262056236841,0.03510524112473682,0.0,0.0,0.05265786168710523,0.08776310281184205,0.0,0.4037102729344735
Connecticut,2018,3574561,2.601718085101919,0.02797546328066579,0.0,0.05595092656133158,0.0,0.05595092656133158,0.7833129718586422,0.0,0.0,0.0,0.02797546328066579,0.22380370624532633,0.0,0.05595092656133158,0.02797546328066579,0.19582824296466056,0.02797546328066579,0.0,0.22380370624532633,0.02797546328066579,0.0,0.02797546328066579,0.0,0.05595092656133158,0.0,0.0,0.0,0.11190185312266317,0.11190185312266317,0.0,0.0,0.0,0.0,0.5315338023326501,0.0,0.3357055593679895
Delaware,2018,966985,2.17169863027865,0.0,0.0,0.0,0.0,0.0,1.034142204894595,0.0,0.0,0.0,0.0,0.413656881957838,0.0,0.0,0.0,0.0,0.0,0.0,0.1034142204894595,0.0,0.0,0.0,0.0,0.1034142204894595,0.0,0.0,0.0,0.206828440978919,0.0,0.1034142204894595,0.0,0.0,0.0,0.206828440978919,0.0,0.413656881957838
District of Columbia,2018,704147,30.249365544410473,0.0,0.14201580067798344,0.2840316013559669,0.0,0.0,3.692410817627569,0.0,0.0,0.0,0.14201580067798344,7.668853236611105,0.2840316013559669,0.0,0.14201580067798344,3.692410817627569,0.8520948040679006,0.0,0.7100790033899171,0.2840316013559669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4083792162716025,0.0,0.0,0.0,0.0,4.402489821017486,2.8403160135596686,0.0,14.343595868476328
Florida,2018,21254926,0.6633756334884441,0.0,0.004704791726868398,0.01881916690747359,0.0,0.0,0.2211252111628147,0.004704791726868398,0.004704791726868398,0.0,0.0,0.12702937662544672,0.0,0.0,0.0,0.02822875036121038,0.009409583453736796,0.004704791726868398,0.10821020971797314,0.01411437518060519,0.0,0.004704791726868398,0.0,0.0,0.004704791726868398,0.0,0.0,0.004704791726868398,0.0,0.0,0.0,0.0,0.023523958634341986,0.05645750072242076,0.0,0.1881916690747359
