State,Per Capita
AL,0.1241828252668999
AK,1.0845604683132102
AZ,3.0295311461424723
AR,0.912020737324854
CA,2.201090360562651
CO,2.4474583808753705
CT,4.004681027156187
DE,1.406832009107614
FL,0.60864341157828
GA,0.5713946600863388
ID,1.9850463973579036
IL,0.8297289236833947
IN,1.141452612594788
IA,0.323212995748133
KS,2.3494405912850955
KY,3.902965028071849
LA,0.5188022585191654
ME,1.8817606957396185
MD,0.8607308752772271
MA,5.226980511850949
MI,3.3586147257403627
MN,2.6594163098308647
MS,0.1337864681007907
MO,1.7375507385500784
MT,3.549742742255152
NE,1.7686659917151395
NV,2.628777697594056
NH,1.7328776618507735
NJ,4.673835698418381
NM,0.5733854540711084
NY,3.133520373079483
NC,1.1983689589129047
ND,7.052488491306772
OH,2.9448106219060057
OK,1.115755479332446
OR,1.7328770090542824
PA,0.438200504587881
RI,0.6631551025048316
SC,1.0909543311831045
SD,2.491839226533104
TN,3.155330129878005
TX,0.5362609454824282
UT,2.6217989473477226
VT,2.0746788636505094
VA,1.489850664879169
WA,4.220346895288888
WV,3.1270757313044006
WI,0.8713819350674066
WY,0.171638460746284
