state,year,population_estimate,total_incidents_per_capita,anti_american_indian_or_alaska_native_per_capita,anti_arab_per_capita,anti_asian_per_capita,anti_atheism_agnosticism_per_capita,anti_bisexual_per_capita,anti_black_or_african_american_per_capita,anti_buddhist_per_capita,anti_catholic_per_capita,anti_eastern_orthodox_russian_greek_other_per_capita,anti_female_per_capita,anti_gay_male_per_capita,anti_gender_non_conforming_per_capita,anti_heterosexual_per_capita,anti_hindu_per_capita,anti_hispanic_or_latino_per_capita,anti_islamic_muslim_per_capita,anti_jehovahs_witness_per_capita,anti_jewish_per_capita,anti_lesbian_female_per_capita,anti_male_per_capita,anti_mental_disability_per_capita,anti_mormon_per_capita,anti_multiple_races_group_per_capita,anti_multiple_religions_group_per_capita,anti_native_hawaiian_or_other_pacific_islander_per_capita,anti_other_christian_per_capita,anti_other_race_ethnicity_ancestry_per_capita,anti_other_religion_per_capita,anti_physical_disability_per_capita,anti_protestant_per_capita,anti_sikh_per_capita,anti_transgender_per_capita,anti_white_per_capita,unknown_motivation_per_capita,anti_lgbtq_grouped_per_capita
Alabama,2015,4854803,0.20598158153894197,0.0,0.0,0.0,0.0,0.0,0.14418710707725935,0.0,0.0,0.0,0.0,0.04119631630778839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020598158153894194,0.0,0.04119631630778839
Alaska,2015,738430,1.0833796026705307,0.0,0.13542245033381634,0.0,0.0,0.0,0.5416898013352653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27084490066763267,0.0,0.13542245033381634
Arizona,2015,6832810,4.039333744096499,0.08781160313253258,0.0,0.04390580156626629,0.0,0.0,1.4196209173092769,0.0,0.014635267188755432,0.0,0.0,0.6293164891164836,0.0,0.0,0.0,0.24879954220884234,0.102446870321288,0.0,0.409787481285152,0.07317633594377716,0.0,0.029270534377510864,0.0,0.07317633594377716,0.11708213751004345,0.0,0.0,0.07317633594377716,0.102446870321288,0.04390580156626629,0.014635267188755432,0.0,0.0,0.42442274847390754,0.0,0.8342102297590596
Arkansas,2015,2979732,0.20136039080024648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03356006513337441,0.0,0.0,0.0,0.10068019540012324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03356006513337441,0.0,0.06712013026674882
California,2015,38904296,2.151433353272862,0.0051408204379279855,0.025704102189639932,0.04883779416031587,0.0025704102189639927,0.010281640875855971,0.5911943503617184,0.0025704102189639927,0.028274512408603923,0.0,0.0025704102189639927,0.2776043036481113,0.0051408204379279855,0.0077112306568919795,0.0,0.20820322773608346,0.10538681897752372,0.0025704102189639927,0.24932979123950735,0.06426025547409982,0.0,0.0,0.0025704102189639927,0.043696973722387886,0.023133691970675937,0.0025704102189639927,0.0,0.08482353722581178,0.06683066569306383,0.010281640875855971,0.0077112306568919795,0.0,0.061689845255135836,0.08739394744477577,0.0,0.5423565562014026
Colorado,2015,5454328,1.9617448748956792,0.018334064251361488,0.0,0.09167032125680744,0.0,0.0,0.5316878632894831,0.0,0.0,0.0,0.0,0.1283384497595304,0.0,0.0,0.0,0.2566768995190608,0.018334064251361488,0.0,0.1283384497595304,0.09167032125680744,0.0,0.018334064251361488,0.0,0.0,0.036668128502722976,0.0,0.0,0.11000438550816893,0.07333625700544595,0.036668128502722976,0.036668128502722976,0.0,0.05500219275408447,0.18334064251361487,0.0,0.42168347778131415
Connecticut,2015,3588561,2.591568040782921,0.08359896905751357,0.027866323019171194,0.13933161509585595,0.0,0.027866323019171194,0.8359896905751358,0.0,0.05573264603834239,0.0,0.0,0.16719793811502714,0.0,0.027866323019171194,0.0,0.16719793811502714,0.027866323019171194,0.0,0.30652955321088315,0.027866323019171194,0.0,0.08359896905751357,0.0,0.08359896905751357,0.0,0.0,0.0,0.11146529207668478,0.11146529207668478,0.027866323019171194,0.0,0.0,0.0,0.2786632301917119,0.0,0.22293058415336955
Delaware,2015,942065,1.167647667623784,0.0,0.0,0.0,0.0,0.0,0.7430485157605897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10614978796579853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21229957593159707,0.0,0.0,0.0,0.0,0.0,0.0,0.10614978796579853,0.0,0.0
District of Columbia,2015,677014,9.600983140673605,0.0,0.29541486586688015,0.14770743293344007,0.0,0.0,1.3293668964009606,0.0,0.0,0.0,0.0,3.397270957469122,0.0,0.0,0.0,0.14770743293344007,0.29541486586688015,0.0,0.29541486586688015,0.5908297317337603,0.0,0.0,0.0,0.5908297317337603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14770743293344007,1.4770743293344009,0.8862445976006406,0.0,5.465175018537283
Florida,2015,20219111,0.3560987424224537,0.0,0.0,0.0,0.0,0.0,0.13848284427539864,0.0,0.0,0.0,0.0,0.05440397453676376,0.0,0.004945815866978524,0.0,0.02967489520187114,0.009891631733957048,0.0,0.04451234280280671,0.004945815866978524,0.0,0.0,0.0,0.009891631733957048,0.0,0.0,0.004945815866978524,0.009891631733957048,0.004945815866978524,0.0,0.0,0.0,0.004945815866978524,0.02967489520187114,0.0,0.06924142213769932
