state,year,population_estimate,total_incidents,total_incidents_per_capita,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
New Jersey,1991,7814676,894.0,11.440013635882025,0.0,6.0,87.0,0.0,0.0,340.0,0.0,9.0,0.0,0.0,13.0,0.0,0.0,0.0,26.0,7.0,0.0,229.0,2.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,132.0,0.0,17.0
New York,1991,18122510,943.0,5.203473470286401,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,53.0,0.0,0.0,317.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,26.0,0.0,0.0,0.0,0.0,122.0,0.0,100.0
Ohio,1991,10945762,80.0,0.7308764798649925,0.0,4.0,2.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0
Oklahoma,1991,3175440,99.0,3.117678180031744,2.0,13.0,3.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
Oregon,1991,2928507,296.0,10.10753943903839,1.0,11.0,22.0,2.0,0.0,84.0,0.0,1.0,0.0,0.0,35.0,0.0,1.0,0.0,35.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,49.0,0.0,49.0
Pennsylvania,1991,11982164,277.0,2.311769393241488,2.0,0.0,17.0,0.0,0.0,130.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0
Tennessee,1991,4966587,1.0,0.020134551151525182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,1991,17398005,95.0,0.546039617760772,0.0,1.0,6.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,10.0
Virginia,1991,6301217,54.0,0.8569773108908962,0.0,1.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0
Washington,1991,5025624,196.0,3.900013212289658,1.0,4.0,19.0,0.0,1.0,79.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,42.0
Wisconsin,1991,4964343,41.0,0.8258897501643219,0.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0
Alabama,1992,4154014,4.0,0.09629240536984228,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Arizona,1992,3915740,172.0,4.392528615280892,3.0,2.0,8.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,14.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,31.0
Arkansas,1992,2415984,38.0,1.5728580983980027,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,5.0
California,1992,30974659,77.0,0.24859030732186593,0.0,1.0,11.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,26.0
Colorado,1992,3495939,261.0,7.465805324406404,1.0,3.0,13.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,32.0,1.0,0.0,18.0,3.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,35.0,0.0,29.0
Connecticut,1992,3300712,63.0,1.9086790971160161,0.0,0.0,2.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,12.0
Delaware,1992,694925,47.0,6.763319782710364,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0
District of Columbia,1992,597565,14.0,2.342841364537749,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0
Florida,1992,13650553,333.0,2.439461610090082,1.0,0.0,1.0,0.0,1.0,111.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,22.0,0.0,0.0,36.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,17.0,6.0,0.0,2.0,0.0,0.0,86.0,0.0,44.0
Georgia,1992,6817203,66.0,0.9681389860328349,1.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,25.0
Idaho,1992,1071685,54.0,5.0387940486243625,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0
Illinois,1992,11694184,267.0,2.283186240271232,1.0,13.0,8.0,0.0,1.0,91.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,7.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,37.0
Indiana,1992,5674547,20.0,0.3524510414663937,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
Iowa,1992,2818401,36.0,1.2773200123048494,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0
Kansas,1992,2532394,3.0,0.11846497819849518,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky,1992,3765469,5.0,0.13278558394717896,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Louisiana,1992,4293003,13.0,0.3028183301991636,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Maine,1992,1238508,19.0,1.5341039379640666,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
Maryland,1992,4923368,492.0,9.993159154464992,2.0,0.0,27.0,0.0,0.0,214.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,0.0,14.0,0.0,0.0,48.0,1.0,0.0,0.0,0.0,29.0,3.0,0.0,0.0,7.0,7.0,0.0,5.0,0.0,0.0,106.0,0.0,24.0
Massachusetts,1992,6028709,424.0,7.033014862717707,1.0,4.0,35.0,0.0,0.0,133.0,0.0,2.0,0.0,0.0,39.0,0.0,0.0,0.0,51.0,0.0,0.0,63.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,63.0
Michigan,1992,9479065,122.0,1.2870467709631699,1.0,5.0,3.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0
Missouri,1992,5217101,158.0,3.0285018442234493,0.0,3.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,14.0
Nevada,1992,1351367,23.0,1.7019802910682293,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
New Jersey,1992,7880508,1113.0,14.123454985389268,0.0,5.0,33.0,0.0,1.0,398.0,0.0,4.0,0.0,0.0,25.0,0.0,0.0,0.0,61.0,11.0,0.0,314.0,3.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,70.0,11.0,0.0,2.0,0.0,0.0,145.0,0.0,31.0
New York,1992,18246653,1112.0,6.094268357051564,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,58.0,0.0,0.0,359.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,21.0,0.0,0.0,0.0,0.0,207.0,0.0,115.0
North Carolina,1992,6897214,1.0,0.014498607698702693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
North Dakota,1992,638223,1.0,0.15668504582254164,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,1992,11029431,105.0,0.9519983397148956,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,3.0
Oklahoma,1992,3220517,147.0,4.564484522205596,1.0,5.0,2.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,35.0,0.0,3.0
Oregon,1992,2991755,376.0,12.567874040487942,8.0,6.0,17.0,0.0,0.0,118.0,0.0,1.0,0.0,0.0,50.0,0.0,8.0,0.0,37.0,0.0,0.0,16.0,13.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,7.0,3.0,0.0,9.0,0.0,0.0,57.0,0.0,77.0
Pennsylvania,1992,12049450,1.0,0.008299133985368625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,1992,1012581,48.0,4.7403615118197955,0.0,0.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0
South Carolina,1992,3620464,4.0,0.11048307620238731,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Tennessee,1992,5049742,4.0,0.07921196766092209,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Texas,1992,17759738,487.0,2.742157570117307,1.0,12.0,14.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,23.0,2.0,0.0,34.0,4.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,11.0,1.0,0.0,2.0,0.0,0.0,114.0,0.0,59.0
Utah,1992,1836799,12.0,0.6533104602082209,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
Virginia,1992,6414307,102.0,1.590195168394653,0.0,0.0,1.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0
Washington,1992,5160757,375.0,7.266375843698898,3.0,1.0,25.0,0.0,0.0,137.0,0.0,2.0,0.0,0.0,57.0,0.0,2.0,0.0,15.0,1.0,0.0,21.0,3.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,14.0,2.0,0.0,3.0,0.0,0.0,56.0,0.0,72.0
Wisconsin,1992,5025398,67.0,1.333227736390232,1.0,0.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,17.0
Wyoming,1992,466251,1.0,0.21447675179248943,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1993,4099156,5.0,0.12197632878573052,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alaska,1993,570193,24.0,4.209101128915998,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0
Arizona,1993,3788576,208.0,5.490189453768382,1.0,1.0,9.0,0.0,0.0,87.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,21.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,34.0,0.0,13.0
Arkansas,1993,2383144,13.0,0.5454978801113152,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
California,1993,30470736,364.0,1.194588801530754,0.0,1.0,36.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,6.0,1.0,0.0,42.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,73.0,0.0,116.0
Colorado,1993,3387119,178.0,5.255203611092495,1.0,3.0,8.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,27.0,0.0,1.0,0.0,13.0,0.0,0.0,27.0,10.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,47.0
Connecticut,1993,3302895,116.0,3.512070471510599,1.0,0.0,0.0,0.0,0.0,45.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,11.0
Delaware,1993,683080,33.0,4.831059319552614,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0
District of Columbia,1993,600870,10.0,1.664253499092982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
Florida,1993,13369798,239.0,1.7876111516419322,1.0,0.0,2.0,0.0,1.0,102.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,11.0,1.0,0.0,27.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,1.0,0.0,2.0,0.0,0.0,53.0,0.0,22.0
Georgia,1993,6653005,75.0,1.12731014030502,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,22.0
