state,year,population_estimate,total_incidents_per_capita,anti_american_indian_or_alaska_native_per_capita,anti_arab_per_capita,anti_asian_per_capita,anti_atheism_agnosticism_per_capita,anti_bisexual_per_capita,anti_black_or_african_american_per_capita,anti_buddhist_per_capita,anti_catholic_per_capita,anti_eastern_orthodox_russian_greek_other_per_capita,anti_female_per_capita,anti_gay_male_per_capita,anti_gender_non_conforming_per_capita,anti_heterosexual_per_capita,anti_hindu_per_capita,anti_hispanic_or_latino_per_capita,anti_islamic_muslim_per_capita,anti_jehovahs_witness_per_capita,anti_jewish_per_capita,anti_lesbian_female_per_capita,anti_male_per_capita,anti_mental_disability_per_capita,anti_mormon_per_capita,anti_multiple_races_group_per_capita,anti_multiple_religions_group_per_capita,anti_native_hawaiian_or_other_pacific_islander_per_capita,anti_other_christian_per_capita,anti_other_race_ethnicity_ancestry_per_capita,anti_other_religion_per_capita,anti_physical_disability_per_capita,anti_protestant_per_capita,anti_sikh_per_capita,anti_transgender_per_capita,anti_white_per_capita,unknown_motivation_per_capita,anti_lgbtq_grouped_per_capita
Arkansas,2006,4628981,0.712899880124805,0.02160302667044864,0.0,0.0648090800113459,0.0,0.0,0.30244237338628094,0.0,0.0,0.0,0.0,0.08641210668179455,0.0,0.0,0.0,0.0648090800113459,0.0,0.0,0.02160302667044864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648090800113459,0.0,0.1728242133635891
Alaska,2006,675302,0.888491371267966,0.14808189521132767,0.0,0.0,0.0,0.0,0.29616379042265534,0.0,0.0,0.0,0.0,0.29616379042265534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14808189521132767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29616379042265534
Arizona,2006,6029141,2.803052706844972,0.049758332074171095,0.0,0.03317222138278073,0.0,0.0,0.7629610918039568,0.0,0.0,0.0,0.0,0.3483083245191977,0.0,0.0,0.0,0.497583320741711,0.11610277483973257,0.0,0.2487916603708555,0.06634444276556146,0.0,0.016586110691390366,0.0,0.11610277483973257,0.049758332074171095,0.0,0.0,0.21561943898807476,0.06634444276556146,0.0,0.049758332074171095,0.0,0.0,0.09951666414834219,0.0,0.4809972100503206
Arkansas,2006,2821761,4.004591459021512,0.0,0.0,0.10631658740765075,0.0,0.2126331748153015,1.2757990488918092,0.0,0.0,0.0,0.0,0.07087772493843383,0.0,0.0,0.0,0.2126331748153015,0.0,0.0,0.03543886246921692,0.03543886246921692,0.0,0.07087772493843383,0.0,0.17719431234608457,0.0,0.0,0.0,0.0,0.03543886246921692,0.0,0.03543886246921692,0.0,0.0,1.665626536053195,0.0,0.38982748716138615
California,2006,36021202,3.600657190728949,0.011104571135632842,0.0,0.14435942476322694,0.0027761427839082106,0.008328428351724633,1.199293682648347,0.0,0.030537570622990316,0.0,0.0,0.4525112737770383,0.0,0.0,0.0,0.4247498459379562,0.038865998974714946,0.0,0.35812241912415915,0.06385128402988884,0.0,0.005552285567816421,0.0,0.12492642527586947,0.038865998974714946,0.0,0.0,0.2609574216873718,0.06107514124598063,0.0027761427839082106,0.036089856190806735,0.0,0.0,0.17767313817012548,0.0,0.6829311248414197
Colorado,2006,4720423,2.965835900723304,0.0,0.0,0.021184542148023598,0.0,0.0,0.741458975180826,0.0,0.042369084296047195,0.0,0.0,0.2330299636282596,0.0,0.0,0.0,0.33895267436837756,0.105922710740118,0.0,0.33895267436837756,0.021184542148023598,0.0,0.021184542148023598,0.0,0.19066087933221237,0.16947633718418878,0.0,0.0,0.08473816859209439,0.1271072528881416,0.021184542148023598,0.105922710740118,0.0,0.0,0.317768132220354,0.0,0.33895267436837756
Connecticut,2006,3517460,3.61055989264981,0.0,0.0,0.05685921090787102,0.0,0.0,1.0803250072495494,0.0,0.02842960545393551,0.0,0.0,0.42644408180903265,0.0,0.14214802726967754,0.0,0.34115526544722613,0.0,0.0,0.6538809254405167,0.14214802726967754,0.0,0.0,0.0,0.11371842181574204,0.02842960545393551,0.0,0.0,0.08528881636180653,0.02842960545393551,0.05685921090787102,0.0,0.0,0.0,0.2842960545393551,0.0,0.7107401363483877
Delaware,2006,859268,5.70252819842005,0.0,0.0,0.0,0.0,0.0,3.0258312889575776,0.0,0.0,0.0,0.0,0.4655125059934735,0.0,0.0,0.0,0.5818906324918419,0.0,0.0,0.3491343794951051,0.23275625299673675,0.0,0.0,0.0,0.11637812649836837,0.0,0.0,0.0,0.0,0.23275625299673675,0.11637812649836837,0.11637812649836837,0.0,0.0,0.23275625299673675,0.0,0.931025011986947
District of Columbia,2006,570681,9.98806688850689,0.0,0.0,0.0,0.0,0.0,1.4018339492641247,0.0,0.0,0.0,0.0,4.731189578766421,0.0,0.3504584873160312,0.0,0.1752292436580156,0.1752292436580156,0.0,0.3504584873160312,0.7009169746320624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5256877309740468,0.3504584873160312,0.1752292436580156,0.0,0.0,0.0,0.5256877309740468,0.0,5.957794284372531
Florida,2006,18166990,1.1889696642096461,0.005504489186155769,0.0,0.022017956744623077,0.0,0.0,0.3522873079139692,0.0,0.011008978372311538,0.0,0.0,0.0,0.0,0.022017956744623077,0.0,0.0,0.011008978372311538,0.0,0.12109876209542693,0.0,0.0,0.0,0.0,0.033026935116934615,0.0,0.0,0.0,0.1266032512815827,0.049540402675401926,0.0,0.0,0.0,0.0,0.214675078260075,0.0,0.22017956744623077
Georgia,2006,9155813,0.14198629875905067,0.0,0.0,0.0,0.0,0.0,0.04368809192586175,0.0,0.0,0.0,0.0,0.021844045962930873,0.0,0.0,0.0,0.010922022981465437,0.010922022981465437,0.0,0.010922022981465437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021844045962930873,0.0,0.04368809192586175
Idaho,2006,1468669,1.4979549510475132,0.0,0.0,0.0,0.0,0.0,0.4766220298787541,0.0,0.0,0.0,0.0,0.0680888614112506,0.0,0.0,0.0,0.34044430705625295,0.0,0.0,0.0680888614112506,0.0,0.0,0.0680888614112506,0.0,0.0680888614112506,0.0,0.0,0.0,0.1361777228225012,0.0680888614112506,0.0,0.0,0.0,0.0,0.0680888614112506,0.0,0.2042665842337518
Illinois,2006,12643955,1.2337911673997575,0.0,0.0,0.03954458869871017,0.0,0.0,0.5298974885627163,0.0,0.007908917739742035,0.0,0.0,0.14236051931535662,0.0,0.0,0.0,0.03954458869871017,0.03163567095896814,0.0,0.14236051931535662,0.055362424178194244,0.0,0.0,0.0,0.07908917739742034,0.007908917739742035,0.0,0.0,0.04745350643845221,0.007908917739742035,0.0,0.0,0.0,0.0,0.07118025965767831,0.0,0.229358614452519
Indiana,2006,6332669,0.631645203625833,0.0,0.0,0.03158226018129165,0.0,0.0,0.1894935610877499,0.0,0.0,0.0,0.0,0.1263290407251666,0.0,0.015791130090645825,0.0,0.07895565045322912,0.0,0.0,0.047373390271937474,0.015791130090645825,0.0,0.0,0.0,0.015791130090645825,0.0,0.0,0.0,0.03158226018129165,0.0,0.0,0.0,0.0,0.0,0.0631645203625833,0.0,0.15791130090645825
