State,Per Capita
AL,0.2331394602100883
AK,1.1637125339113106
AZ,2.9456900732792155
AR,3.200496494412698
CA,3.775508896664349
CO,3.353968419524186
CT,5.048540731993279
DE,7.01457447554742
FL,0.825808178793408
GA,0.1262514278247415
ID,1.955263569529173
IL,0.9413951696072452
IN,0.949445010479694
IA,1.0938982356415912
KS,4.0953307531562535
KY,1.8415442117468144
LA,1.5105106743505818
ME,4.735029977249308
MD,1.7590257811613617
MA,5.194028660217311
MI,5.8008086749535455
MN,3.125584856007736
MS,0.1356941399807178
MO,1.671191826487749
MT,2.8676331273075486
NE,5.566757107913814
NV,3.542317504701108
NH,3.419697151620253
NJ,8.540837024987688
NM,0.447613770986869
NY,3.1490020318089806
NC,1.3319800129953987
ND,2.433204728325088
OH,3.082830622077878
OK,1.4718003061344638
OR,5.06799605598464
PA,0.5550144164994686
RI,3.317526111300157
SC,3.4003121221568757
SD,5.506029101866544
TN,4.321790258396638
TX,1.0160829475817617
UT,1.502048982568346
VT,3.5247880721171643
VA,3.408439858780805
WA,3.6572927713151215
WV,2.499578875298184
WI,1.6840997582696389
WY,1.0988145622231216
