state,year,population_estimate,total_incidents_per_capita,anti_american_indian_or_alaska_native_per_capita,anti_arab_per_capita,anti_asian_per_capita,anti_atheism_agnosticism_per_capita,anti_bisexual_per_capita,anti_black_or_african_american_per_capita,anti_buddhist_per_capita,anti_catholic_per_capita,anti_eastern_orthodox_russian_greek_other_per_capita,anti_female_per_capita,anti_gay_male_per_capita,anti_gender_non_conforming_per_capita,anti_heterosexual_per_capita,anti_hindu_per_capita,anti_hispanic_or_latino_per_capita,anti_islamic_muslim_per_capita,anti_jehovahs_witness_per_capita,anti_jewish_per_capita,anti_lesbian_female_per_capita,anti_male_per_capita,anti_mental_disability_per_capita,anti_mormon_per_capita,anti_multiple_races_group_per_capita,anti_multiple_religions_group_per_capita,anti_native_hawaiian_or_other_pacific_islander_per_capita,anti_other_christian_per_capita,anti_other_race_ethnicity_ancestry_per_capita,anti_other_religion_per_capita,anti_physical_disability_per_capita,anti_protestant_per_capita,anti_sikh_per_capita,anti_transgender_per_capita,anti_white_per_capita,unknown_motivation_per_capita,anti_lgbtq_grouped_per_capita
Alabama,2008,4718206,0.23313946021008833,0.0,0.0,0.0,0.0,0.0,0.1059724819136765,0.0,0.0,0.0,0.0,0.042388992765470604,0.0,0.0,0.0,0.021194496382735302,0.021194496382735302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021194496382735302,0.0,0.0,0.0,0.0,0.021194496382735302,0.0,0.042388992765470604
Alaska,2008,687455,1.1637125339113106,0.0,0.0,0.14546406673891382,0.0,0.0,0.29092813347782764,0.0,0.0,0.0,0.0,0.14546406673891382,0.0,0.0,0.0,0.0,0.0,0.0,0.14546406673891382,0.0,0.0,0.0,0.0,0.14546406673891382,0.0,0.0,0.0,0.0,0.14546406673891382,0.0,0.0,0.0,0.0,0.14546406673891382,0.0,0.14546406673891382
Arizona,2008,6280362,2.9456900732792155,0.06369059617901006,0.0,0.04776794713425755,0.0,0.0,0.8757456974613883,0.0,0.03184529808950503,0.0,0.0,0.33437562993980285,0.0,0.0,0.0,0.5732153656110905,0.06369059617901006,0.0,0.35029827898455534,0.06369059617901006,0.0,0.0,0.0,0.15922649044752515,0.0,0.0,0.0,0.15922649044752515,0.07961324522376258,0.0,0.015922649044752515,0.0,0.0,0.12738119235802012,0.0,0.39806622611881287
Arkansas,2008,2874554,3.200496494412698,0.0,0.0,0.0,0.0,0.03478800537405107,1.4263082203360937,0.0,0.0,0.0,0.0,0.1391520214962043,0.0,0.24351603761835747,0.0,0.17394002687025534,0.0,0.0,0.0,0.03478800537405107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06957601074810214,0.0,0.03478800537405107,0.0,0.0,0.8697001343512768,0.0,0.38266805911456175
California,2008,36604337,3.775508896664349,0.002731916712492293,0.0,0.10108091836221483,0.002731916712492293,0.005463833424984586,1.2484859376089779,0.0,0.032783000549907515,0.0,0.0,0.4207151737238131,0.0,0.008195750137476879,0.0,0.4015917567363671,0.030051083837415223,0.0,0.5026726750985819,0.060102167674830446,0.0,0.005463833424984586,0.0,0.12840008548713777,0.040978750687384394,0.0,0.0,0.18850225316196823,0.17211075288701447,0.005463833424984586,0.021855333699938344,0.0,0.0,0.1147405019246763,0.0,0.7676685962103343
Colorado,2008,4889730,3.353968419524186,0.04090205389663642,0.0,0.08180410779327284,0.0,0.02045102694831821,1.1248064821575017,0.0,0.06135308084495463,0.0,0.0,0.24541232337981853,0.0,0.0,0.0,0.4499225928630006,0.0,0.0,0.26586335032813674,0.08180410779327284,0.0,0.0,0.0,0.08180410779327284,0.04090205389663642,0.0,0.0,0.24541232337981853,0.14315718863822746,0.04090205389663642,0.04090205389663642,0.0,0.0,0.24541232337981853,0.0,0.49082464675963705
Connecticut,2008,3545579,5.048540731993279,0.08461241450268066,0.0,0.08461241450268066,0.0,0.0,2.0024938098967757,0.0,0.16922482900536132,0.0,0.0,0.33844965801072263,0.0,0.02820413816756022,0.0,0.36665379617828286,0.02820413816756022,0.0,0.5922869015187646,0.08461241450268066,0.0,0.0,0.0,0.1410206908378011,0.05640827633512044,0.0,0.0,0.3102455198431624,0.08461241450268066,0.0,0.0,0.0,0.0,0.507674487016084,0.0,0.5922869015187646
Delaware,2008,883874,7.01457447554742,0.0,0.0,0.0,0.0,0.0,2.9415957478102084,0.0,0.0,0.0,0.0,0.339414893978101,0.0,0.11313829799270031,0.0,0.678829787956202,0.22627659598540062,0.0,1.131382979927003,0.11313829799270031,0.0,0.0,0.0,0.22627659598540062,0.11313829799270031,0.0,0.0,0.0,0.22627659598540062,0.11313829799270031,0.0,0.0,0.0,0.678829787956202,0.0,0.5656914899635015
District of Columbia,2008,580236,7.238434016503629,0.0,0.0,0.17234366705961024,0.0,0.17234366705961024,0.5170310011788307,0.0,0.0,0.0,0.0,4.136248009430646,0.0,0.0,0.0,0.17234366705961024,0.17234366705961024,0.0,0.0,0.689374668238441,0.0,0.0,0.0,0.17234366705961024,0.0,0.0,0.0,0.3446873341192205,0.0,0.0,0.0,0.0,0.0,0.5170310011788307,0.0,5.170310011788307
Florida,2008,18527305,0.825808178793408,0.005397439077081098,0.0,0.0,0.0,0.0,0.275269392931136,0.0,0.010794878154162196,0.0,0.0,0.0,0.0,0.0,0.0,0.053974390770810975,0.0,0.0,0.14033341600410854,0.0,0.0,0.005397439077081098,0.0,0.043179512616648784,0.0,0.0,0.0,0.03778207353956768,0.016192317231243293,0.0,0.021589756308324392,0.0,0.0,0.04857695169372987,0.0,0.167320611389514
