State,Per Capita
AL,0.2876619331210662
AK,1.481331852001481
AZ,3.1246548660307827
AR,0.4010943190003392
CA,2.378082650300826
CO,1.8939926881059423
CT,3.016903037295067
DE,1.5789656511812244
FL,0.5332754939500622
GA,0.3783306924557562
ID,1.6032911410444906
IL,0.8657192266647138
IN,1.190135792987479
IA,0.5425745481471079
KS,1.7851153647969071
KY,4.81948766594014
LA,0.5553958199201683
ME,3.077274105564012
MD,0.649241037227481
MA,5.844201497521707
MI,4.078714365121487
MN,2.1537058218831
MS,0.6687632394222555
MO,1.461080109216559
MT,2.015090146497054
NE,1.6260307592567045
NV,1.4728271945553346
NH,2.158229477842425
NJ,3.189241235559386
NM,1.242500197127435
NY,3.030088370108336
NC,1.4564345969346777
ND,1.719317457420442
OH,4.046370894995387
OK,0.8910062591916843
OR,2.6384766608416594
PA,0.5630072343301793
RI,1.134412790126071
SC,0.6044693252973837
SD,2.084073854946144
TN,2.2401713234917144
TX,0.6412538138481019
UT,2.2008770002112183
VT,4.00406172020898
VA,1.5087344438490025
WA,5.410987812126668
WV,2.2374599917595988
WI,0.6753047962224489
WY,0.5126075835165905
