State,Per Capita
AL,0.0446419702822868
AK,1.089770634417759
AZ,4.466060258457023
AR,6.393372770218856
CA,4.725875830537548
CO,2.1378913176225045
CT,4.047706266051685
DE,1.6125651073162075
FL,1.5399023450256062
GA,0.3643519894088753
ID,3.208064626834938
IL,1.261421049891917
IN,1.2670633224642045
IA,1.6017809077258325
KS,2.063728678642435
KY,1.931599376509062
LA,0.3335359008037548
ME,2.777863514305997
MD,3.98868536790292
MA,6.653986174045215
MI,4.203396464154813
MN,4.044682786288326
MS,0.104943503664802
MO,1.145409770345341
MT,1.4259592592470716
NE,3.2401932080921507
NV,2.852160120269152
NH,2.3639004041481724
NJ,6.664606484802417
NM,0.8084906611243733
NY,3.621105874238418
NC,0.7446373201896039
ND,2.820573892768049
OH,2.3229538786711545
OK,1.2610774186891671
OR,1.7361980791387548
PA,0.7785237098179382
RI,3.564744675162641
SC,1.7284212089454318
SD,0.5263019394226468
TN,2.242957888638176
TX,1.5813502102896109
UT,2.3227654673597686
VT,2.924727269182149
VA,3.993482526729915
WA,2.8583943192965244
WV,2.32633623091435
WI,0.624407501558264
WY,0.9999660011559608
