state,year,population_estimate,total_incidents_per_capita,anti_american_indian_or_alaska_native_per_capita,anti_arab_per_capita,anti_asian_per_capita,anti_atheism_agnosticism_per_capita,anti_bisexual_per_capita,anti_black_or_african_american_per_capita,anti_buddhist_per_capita,anti_catholic_per_capita,anti_eastern_orthodox_russian_greek_other_per_capita,anti_female_per_capita,anti_gay_male_per_capita,anti_gender_non_conforming_per_capita,anti_heterosexual_per_capita,anti_hindu_per_capita,anti_hispanic_or_latino_per_capita,anti_islamic_muslim_per_capita,anti_jehovahs_witness_per_capita,anti_jewish_per_capita,anti_lesbian_female_per_capita,anti_male_per_capita,anti_mental_disability_per_capita,anti_mormon_per_capita,anti_multiple_races_group_per_capita,anti_multiple_religions_group_per_capita,anti_native_hawaiian_or_other_pacific_islander_per_capita,anti_other_christian_per_capita,anti_other_race_ethnicity_ancestry_per_capita,anti_other_religion_per_capita,anti_physical_disability_per_capita,anti_protestant_per_capita,anti_sikh_per_capita,anti_transgender_per_capita,anti_white_per_capita,unknown_motivation_per_capita,anti_lgbtq_grouped_per_capita
Alabama,2014,4843737,0.18580695029478272,0.020645216699420304,0.0,0.020645216699420304,0.0,0.0,0.06193565009826091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020645216699420304,0.0,0.0,0.020645216699420304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04129043339884061,0.0,0.0
Alaska,2014,737075,0.8140284231591086,0.4070142115795543,0.0,0.0,0.0,0.0,0.2713428077197029,0.0,0.0,0.0,0.0,0.13567140385985146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13567140385985146
Arizona,2014,6732873,3.935912648285509,0.07426250279783979,0.0,0.08911500335740775,0.0,0.029705001119135915,1.38128255203982,0.0,0.029705001119135915,0.0,0.0,0.6089525229422863,0.0,0.0,0.0,0.37131251398919896,0.05941000223827183,0.0,0.2821975106317912,0.11882000447654366,0.0,0.04455750167870388,0.0,0.07426250279783979,0.07426250279783979,0.0,0.0,0.2821975106317912,0.08911500335740775,0.014852500559567957,0.029705001119135915,0.0,0.0,0.22278750839351935,0.0,0.8168875307762377
Arkansas,2014,2968759,0.37052519251310057,0.0,0.0,0.0,0.0,0.0,0.1347364336411275,0.0,0.033684108410281875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033684108410281875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033684108410281875,0.0,0.0,0.0,0.0,0.0,0.1010523252308456,0.0,0.033684108410281875
California,2014,38586706,1.966998686024145,0.0077746983637318,0.0,0.04923975630363473,0.0,0.005183132242487866,0.6271590013410319,0.0,0.012957830606219665,0.0,0.005183132242487866,0.2021421574570268,0.0,0.002591566121243933,0.0,0.15549396727463596,0.046648190182390796,0.0,0.20732528969951464,0.07256385139483013,0.0,0.005183132242487866,0.0,0.03887349181865899,0.0077746983637318,0.0,0.0,0.1321698721834406,0.05183132242487866,0.005183132242487866,0.005183132242487866,0.0,0.05701445466736653,0.07256385139483013,0.0,0.539045753218738
Colorado,2014,5352637,1.7561437474650343,0.0,0.0,0.0,0.0,0.0,0.5417890284732553,0.0,0.0,0.0,0.0,0.20550618321399342,0.0,0.0,0.0,0.16814142262963097,0.03736476058436244,0.0,0.05604714087654366,0.07472952116872487,0.0,0.01868238029218122,0.0,0.03736476058436244,0.01868238029218122,0.0,0.0,0.11209428175308732,0.07472952116872487,0.07472952116872487,0.0,0.0,0.01868238029218122,0.13077666204526853,0.0,0.4857418875967117
Connecticut,2014,3595697,3.476377458946068,0.027811019671568543,0.0,0.13905509835784272,0.0,0.08343305901470563,0.973385688504899,0.0,0.08343305901470563,0.0,0.0,0.2502991770441169,0.0,0.16686611802941126,0.0,0.16686611802941126,0.055622039343137086,0.0,0.5284093737598023,0.055622039343137086,0.0,0.027811019671568543,0.0,0.055622039343137086,0.027811019671568543,0.0,0.0,0.1946771377009798,0.1946771377009798,0.0,0.0,0.0,0.0,0.3893542754019596,0.0,0.47278733441666526
Delaware,2014,933131,1.393159159860727,0.0,0.0,0.0,0.0,0.0,0.6429965353203355,0.0,0.0,0.0,0.0,0.21433217844011185,0.0,0.0,0.0,0.0,0.0,0.0,0.10716608922005592,0.10716608922005592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10716608922005592,0.10716608922005592,0.0,0.0,0.0,0.0,0.10716608922005592,0.0,0.32149826766016776
District of Columbia,2014,663603,10.548475519248708,0.0,0.15069250741783868,0.0,0.0,0.0,1.2055400593427095,0.0,0.15069250741783868,0.0,0.0,3.315235163192451,0.0,0.0,0.0,0.0,0.30138501483567737,0.0,0.45207752225351605,0.45207752225351605,0.0,0.15069250741783868,0.0,0.15069250741783868,0.15069250741783868,0.0,0.0,0.45207752225351605,0.15069250741783868,0.15069250741783868,0.0,0.0,2.2603876112675803,0.6027700296713547,0.0,6.630470326384902
Florida,2014,19853880,0.3273919254070237,0.0,0.0,0.005036798852415749,0.0,0.005036798852415749,0.09569917819589924,0.0,0.010073597704831499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01511039655724725,0.0,0.035257591966910244,0.0,0.0,0.005036798852415749,0.0,0.005036798852415749,0.0,0.0,0.0,0.0302207931144945,0.0,0.0,0.0,0.0,0.0,0.06547838508140474,0.0,0.060441586228989
Georgia,2014,10071204,0.40710127607384383,0.0,0.0,0.029787898249305642,0.0,0.0,0.12908089241365778,0.0,0.0,0.0,0.0,0.11915159299722257,0.0,0.0,0.0,0.029787898249305642,0.0,0.0,0.029787898249305642,0.0,0.0,0.009929299416435215,0.0,0.009929299416435215,0.0,0.0,0.0,0.0,0.0,0.009929299416435215,0.0,0.0,0.0,0.03971719766574086,0.0,0.11915159299722257
Idaho,2014,1632248,1.59289519729845,0.0,0.0,0.0,0.0,0.0,0.6739171988570364,0.0,0.06126519989609422,0.0,0.0,0.0,0.0,0.0,0.0,0.18379559968828268,0.0,0.0,0.0,0.06126519989609422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24506079958437688,0.12253039979218844,0.0,0.0,0.0,0.0,0.12253039979218844,0.0,0.18379559968828268
Illinois,2014,12885092,0.8459388570915908,0.0,0.0,0.007760906945794412,0.007760906945794412,0.0,0.33371899866915966,0.0,0.0,0.0,0.0,0.1474572319700938,0.0,0.0,0.0,0.04656544167476647,0.03104362778317765,0.0,0.0698481625121497,0.023282720837383235,0.0,0.0,0.0,0.015521813891588824,0.0,0.0,0.0,0.04656544167476647,0.0,0.0,0.0,0.0,0.0,0.08536997640373853,0.0,0.20178358059065468
Indiana,2014,6596019,0.7731936490783303,0.0,0.030321319571699236,0.0,0.0,0.0,0.30321319571699235,0.0,0.0,0.0,0.030321319571699236,0.015160659785849618,0.0,0.0,0.0,0.0909639587150977,0.12128527828679694,0.0,0.015160659785849618,0.015160659785849618,0.0,0.015160659785849618,0.0,0.015160659785849618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06064263914339847,0.0,0.0909639587150977
Iowa,2014,3110643,0.35362463644976294,0.0,0.0,0.032147694222705726,0.0,0.0,0.1285907768908229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032147694222705726,0.0,0.0,0.0,0.0,0.0,0.032147694222705726,0.0,0.06429538844541145,0.0,0.0,0.0,0.032147694222705726,0.0,0.0,0.0,0.0,0.0,0.032147694222705726,0.0,0.0
Kansas,2014,2901861,2.5845483295030327,0.0,0.0,0.0,0.0,0.03446064439337377,0.9993586874078393,0.0,0.0,0.0,0.0,0.13784257757349508,0.0,0.06892128878674754,0.0,0.3101457995403639,0.03446064439337377,0.0,0.1033819331801213,0.0,0.0,0.03446064439337377,0.0,0.0,0.03446064439337377,0.0,0.0,0.06892128878674754,0.03446064439337377,0.0,0.06892128878674754,0.0,0.0,0.5169096659006066,0.0,0.3101457995403639
Kentucky,2014,4416992,3.7355738928211784,0.06791952532402142,0.0,0.09055936709869522,0.022639841774673805,0.0,1.177271772283038,0.0,0.022639841774673805,0.0,0.0,0.27167810129608566,0.0,0.0,0.0,0.22639841774673805,0.022639841774673805,0.0,0.11319920887336903,0.04527968354934761,0.0,0.09055936709869522,0.0,0.15847889242271662,0.04527968354934761,0.0,0.0,0.022639841774673805,0.022639841774673805,0.0,0.04527968354934761,0.0,0.022639841774673805,1.177271772283038,0.0,0.4301569937188023
Louisiana,2014,4645938,0.19371760880149497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08609671502288666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04304835751144333,0.0,0.0,0.0,0.0,0.0,0.021524178755721664,0.0,0.0,0.0,0.021524178755721664,0.0,0.10762089377860833
Maine,2014,1331217,2.103338524072334,0.0,0.0,0.0,0.0,0.0,0.7511923300258335,0.0,0.0,0.0,0.0,0.37559616501291676,0.0,0.0,0.0,0.0,0.3004769320103334,0.0,0.3004769320103334,0.07511923300258334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07511923300258334,0.0,0.0,0.0,0.0,0.0,0.07511923300258334,0.0,0.6009538640206668
Maryland,2014,5960064,0.26845349311685246,0.0,0.0,0.01677834331980328,0.0,0.0,0.10067005991881968,0.0,0.0,0.0,0.0,0.01677834331980328,0.0,0.0,0.0,0.05033502995940984,0.0,0.0,0.03355668663960656,0.01677834331980328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03355668663960656,0.0,0.03355668663960656
Massachusetts,2014,6764864,5.558130954295607,0.014782263176318105,0.014782263176318105,0.17738715811581726,0.0,0.0,1.4782263176318104,0.0,0.02956452635263621,0.0,0.22173394764477158,0.9165003169317225,0.561726000700088,0.0,0.0,0.22173394764477158,0.10347584223422673,0.0,0.5912905270527242,0.280863000350044,0.044346789528954315,0.08869357905790863,0.0,0.0,0.0,0.014782263176318105,0.0,0.2660807371737259,0.11825810541054484,0.05912905270527242,0.0,0.0,0.17738715811581726,0.23651621082108967,0.0,1.9216942129213535
Michigan,2014,9932033,3.221898276012575,0.040273728450157184,0.010068432112539296,0.2919845312636396,0.0,0.030205296337617885,1.1075275323793226,0.0,0.010068432112539296,0.0,0.0,0.20136864225078593,0.0,0.0,0.0,0.10068432112539297,0.13088961746301084,0.0,0.10068432112539297,0.030205296337617885,0.020136864225078592,0.06041059267523577,0.0,0.040273728450157184,0.010068432112539296,0.0,0.0,0.21143707436332523,0.07047902478777507,0.030205296337617885,0.010068432112539296,0.0,0.0,0.5336269019645826,0.0,0.44301101295172896
Minnesota,2014,5452665,1.7972862811120802,0.0183396559297151,0.0,0.055018967789145314,0.0,0.0,0.6235483016103135,0.0,0.0366793118594302,0.0,0.0,0.20173621522686613,0.0,0.0,0.0,0.1467172474377208,0.1283775915080057,0.0,0.055018967789145314,0.0733586237188604,0.0,0.0183396559297151,0.0,0.0,0.0183396559297151,0.0,0.0,0.0366793118594302,0.0366793118594302,0.0183396559297151,0.0,0.0,0.0,0.31177415080515675,0.0,0.2934344948754416
Mississippi,2014,2991892,0.06684733272457695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033423666362288475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033423666362288475
Missouri,2014,6059130,1.25430548610114,0.0,0.0,0.016504019553962367,0.0,0.0,0.49512058661887104,0.0,0.016504019553962367,0.0,0.0,0.18154421509358604,0.0,0.0,0.0,0.033008039107924735,0.016504019553962367,0.0,0.06601607821584947,0.0,0.0,0.016504019553962367,0.0,0.033008039107924735,0.033008039107924735,0.016504019553962367,0.0,0.016504019553962367,0.033008039107924735,0.0,0.0,0.0,0.033008039107924735,0.2145522542015108,0.0,0.24756029330943552
Montana,2014,1022657,3.4224573830717437,0.39113798663677074,0.0,0.0,0.09778449665919269,0.09778449665919269,0.293353489977578,0.0,0.0,0.0,0.0,0.09778449665919269,0.0,0.0,0.0,0.19556899331838537,0.0,0.0,0.0,0.0,0.0,0.19556899331838537,0.0,0.0,0.19556899331838537,0.0,0.0,0.09778449665919269,0.19556899331838537,0.0,0.0,0.0,0.19556899331838537,1.2711984565695047,0.0,0.48892248329596333
Nebraska,2014,1879955,2.500059841857917,0.10638552518544327,0.0,0.10638552518544327,0.0,0.0,1.1170480144471544,0.0,0.0,0.0,0.0,0.3723493381490514,0.0,0.0,0.0,0.05319276259272163,0.0,0.0,0.10638552518544327,0.10638552518544327,0.0,0.0,0.0,0.05319276259272163,0.0,0.0,0.0,0.26596381296360816,0.0,0.0,0.0,0.0,0.0,0.21277105037088653,0.0,0.5319276259272163
