state,year,population_estimate,total_incidents_per_capita,anti_american_indian_or_alaska_native_per_capita,anti_arab_per_capita,anti_asian_per_capita,anti_atheism_agnosticism_per_capita,anti_bisexual_per_capita,anti_black_or_african_american_per_capita,anti_buddhist_per_capita,anti_catholic_per_capita,anti_eastern_orthodox_russian_greek_other_per_capita,anti_female_per_capita,anti_gay_male_per_capita,anti_gender_non_conforming_per_capita,anti_heterosexual_per_capita,anti_hindu_per_capita,anti_hispanic_or_latino_per_capita,anti_islamic_muslim_per_capita,anti_jehovahs_witness_per_capita,anti_jewish_per_capita,anti_lesbian_female_per_capita,anti_male_per_capita,anti_mental_disability_per_capita,anti_mormon_per_capita,anti_multiple_races_group_per_capita,anti_multiple_religions_group_per_capita,anti_native_hawaiian_or_other_pacific_islander_per_capita,anti_other_christian_per_capita,anti_other_race_ethnicity_ancestry_per_capita,anti_other_religion_per_capita,anti_physical_disability_per_capita,anti_protestant_per_capita,anti_sikh_per_capita,anti_transgender_per_capita,anti_white_per_capita,unknown_motivation_per_capita,anti_lgbtq_grouped_per_capita
Alabama,2004,4530729,0.06621450985040156,0.0,0.0,0.0,0.0,0.0,0.06621450985040156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2004,659286,1.3651131678816173,0.15167924087573528,0.0,0.15167924087573528,0.0,0.0,0.9100754452544116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15167924087573528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,2004,5652404,3.9806071894365656,0.035383175017213914,0.0,0.08845793754303478,0.0,0.0,1.291485888128308,0.0,0.0,0.0,0.0,0.3361401626635322,0.0,0.0,0.0,0.42459810020656696,0.14153270006885565,0.0,0.4953644502409948,0.10614952505164174,0.0,0.0,0.0,0.1946074625946765,0.08845793754303478,0.0,0.0,0.37152333768074614,0.035383175017213914,0.017691587508606957,0.017691587508606957,0.0,0.0,0.1946074625946765,0.0,0.5838223877840296
Arkansas,2004,2749686,3.018526479023423,0.10910336671168999,0.0,0.07273557780779333,0.0,0.0,1.0182980893091067,0.0,0.0,0.0,0.0,0.036367788903896664,0.0,0.10910336671168999,0.0,0.036367788903896664,0.036367788903896664,0.0,0.036367788903896664,0.0,0.0,0.036367788903896664,0.0,0.0,0.0,0.0,0.0,0.036367788903896664,0.036367788903896664,0.0,0.0,0.0,0.0,1.4547115561558666,0.0,0.036367788903896664
California,2004,35574576,3.9157177867699673,0.008432988772656067,0.0,0.19395874177108957,0.0,0.0028109962575520223,1.4054981287760113,0.0,0.025298966317968203,0.0,0.0,0.5312782926773323,0.0,0.0028109962575520223,0.0,0.38510648728462704,0.08151889146900865,0.0,0.39916146857238716,0.10400686152942484,0.0,0.005621992515104045,0.0,0.126494831589841,0.008432988772656067,0.0,0.0,0.29515460704296237,0.053408928893488423,0.005621992515104045,0.008432988772656067,0.0,0.0,0.17147077171067338,0.0,0.739292015736182
Colorado,2004,4575013,1.3114716832498619,0.04371572277499539,0.0,0.06557358416249309,0.0,0.0,0.5027308119124471,0.0,0.021857861387497696,0.0,0.0,0.06557358416249309,0.0,0.0,0.0,0.26229433664997237,0.04371572277499539,0.0,0.15300502971248386,0.0,0.0,0.0,0.0,0.021857861387497696,0.04371572277499539,0.0,0.0,0.021857861387497696,0.021857861387497696,0.0,0.021857861387497696,0.0,0.0,0.021857861387497696,0.0,0.06557358416249309
Connecticut,2004,3496094,3.432401989191366,0.028603349909928053,0.0,0.057206699819856106,0.0,0.0,1.3729607956765464,0.0,0.028603349909928053,0.0,0.0,0.45765359855884885,0.0,0.0,0.0,0.22882679927942443,0.028603349909928053,0.0,0.6292736980184171,0.057206699819856106,0.0,0.0,0.0,0.11441339963971221,0.028603349909928053,0.0,0.0,0.2574301491893525,0.0,0.0,0.028603349909928053,0.0,0.0,0.08581004972978415,0.0,0.572066998198561
Delaware,2004,830803,4.453522676254178,0.0,0.0,0.1203654777365994,0.0,0.0,2.166578599258789,0.0,0.0,0.0,0.0,0.8425583441561958,0.0,0.0,0.0,0.36109643320979823,0.1203654777365994,0.0,0.1203654777365994,0.1203654777365994,0.0,0.0,0.0,0.1203654777365994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36109643320979823,0.0,1.0832892996293946
District of Columbia,2004,567754,8.630498420090392,0.0,0.0,0.3522652416363425,0.0,0.0,0.8806631040908562,0.0,0.0,0.0,0.0,4.0510502788179386,0.0,0.0,0.0,0.3522652416363425,0.0,0.0,0.3522652416363425,0.8806631040908562,0.0,0.0,0.0,0.5283978624545138,0.0,0.0,0.0,0.3522652416363425,0.0,0.0,0.0,0.0,0.0,0.704530483272685,0.0,5.107846003726966
Florida,2004,17415318,1.5733275728872707,0.0057420714338951495,0.0,0.017226214301685448,0.0,0.0,0.5167864290505635,0.0,0.0,0.0,0.0,0.0057420714338951495,0.0,0.0057420714338951495,0.0,0.0,0.017226214301685448,0.0,0.13780971441348358,0.0,0.0,0.0,0.0,0.011484142867790299,0.0,0.0,0.0,0.24690907165749143,0.034452428603370895,0.0,0.011484142867790299,0.0,0.0,0.3158139288642332,0.0,0.25265114309138653
