state,year,population_estimate,total_incidents_per_capita,anti_american_indian_or_alaska_native_per_capita,anti_arab_per_capita,anti_asian_per_capita,anti_atheism_agnosticism_per_capita,anti_bisexual_per_capita,anti_black_or_african_american_per_capita,anti_buddhist_per_capita,anti_catholic_per_capita,anti_eastern_orthodox_russian_greek_other_per_capita,anti_female_per_capita,anti_gay_male_per_capita,anti_gender_non_conforming_per_capita,anti_heterosexual_per_capita,anti_hindu_per_capita,anti_hispanic_or_latino_per_capita,anti_islamic_muslim_per_capita,anti_jehovahs_witness_per_capita,anti_jewish_per_capita,anti_lesbian_female_per_capita,anti_male_per_capita,anti_mental_disability_per_capita,anti_mormon_per_capita,anti_multiple_races_group_per_capita,anti_multiple_religions_group_per_capita,anti_native_hawaiian_or_other_pacific_islander_per_capita,anti_other_christian_per_capita,anti_other_race_ethnicity_ancestry_per_capita,anti_other_religion_per_capita,anti_physical_disability_per_capita,anti_protestant_per_capita,anti_sikh_per_capita,anti_transgender_per_capita,anti_white_per_capita,unknown_motivation_per_capita,anti_lgbtq_grouped_per_capita
Alabama,2010,4785514,0.39703154143943575,0.0,0.0,0.0,0.0,0.0,0.22986036609651542,0.0,0.0,0.0,0.0,0.041792793835730084,0.0,0.0,0.0,0.020896396917865042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020896396917865042,0.0,0.0,0.041792793835730084,0.020896396917865042,0.0,0.0,0.0,0.0,0.020896396917865042,0.0,0.041792793835730084
Alaska,2010,713982,0.9804168732545078,0.0,0.0,0.0,0.0,0.0,0.14005955332207257,0.0,0.0,0.0,0.0,0.14005955332207257,0.0,0.0,0.0,0.0,0.14005955332207257,0.0,0.0,0.0,0.0,0.14005955332207257,0.0,0.0,0.0,0.0,0.0,0.14005955332207257,0.0,0.0,0.0,0.0,0.0,0.28011910664414513,0.0,0.14005955332207257
Arizona,2010,6407342,3.6832745934273525,0.015607095734861662,0.0,0.09364257440916998,0.0,0.0,1.248567658788933,0.0,0.0,0.0,0.0,0.6554980208641898,0.0,0.0,0.0,0.39017739337154156,0.14046386161375496,0.0,0.42139158484126493,0.09364257440916998,0.0,0.0,0.0,0.06242838293944665,0.04682128720458499,0.0,0.0,0.18728514881833996,0.1248567658788933,0.031214191469723325,0.015607095734861662,0.0,0.0,0.10924967014403164,0.0,0.7959618824779449
Arkansas,2010,2921998,2.1902821288720937,0.034223158263626464,0.0,0.17111579131813232,0.0,0.10266947479087939,0.7186863235361557,0.0,0.06844631652725293,0.0,0.0,0.17111579131813232,0.0,0.034223158263626464,0.0,0.13689263305450586,0.0,0.0,0.0,0.034223158263626464,0.0,0.034223158263626464,0.0,0.10266947479087939,0.10266947479087939,0.0,0.0,0.06844631652725293,0.034223158263626464,0.0,0.0,0.0,0.0,0.3764547408998911,0.0,0.30800842437263815
California,2010,37319550,2.926080298395881,0.0,0.0,0.0857459428101357,0.0,0.008038682138450222,0.8654981102398073,0.0,0.02679560712816741,0.0,0.0,0.2840334355585745,0.0,0.008038682138450222,0.0,0.31886772482519216,0.0589503356819683,0.0,0.3429837712405428,0.08038682138450222,0.0,0.005359121425633481,0.0,0.0911050642357692,0.018756924989717184,0.0,0.0,0.15273496063055422,0.06698901782041852,0.008038682138450222,0.016077364276900444,0.0,0.0,0.12593935350238683,0.0,0.734199635311787
Colorado,2010,5047539,3.0509917803507807,0.0,0.0,0.0594349048120282,0.0,0.0,0.7924653974937093,0.0,0.0,0.0,0.0,0.33679779393482645,0.0,0.0,0.0,0.33679779393482645,0.13868144456139914,0.0,0.25755125418545555,0.13868144456139914,0.0,0.019811634937342733,0.0,0.039623269874685466,0.039623269874685466,0.0,0.0,0.19811634937342731,0.0594349048120282,0.0,0.019811634937342733,0.0,0.0,0.3169861589974837,0.0,0.7726537625563666
Connecticut,2010,3579173,4.107094013058323,0.0,0.0,0.08381824516445559,0.0,0.0,1.480788997905382,0.0,0.02793941505481853,0.0,0.0,0.33527298065782235,0.0,0.0,0.0,0.16763649032891118,0.02793941505481853,0.0,1.0896371871379225,0.0,0.0,0.0,0.0,0.16763649032891118,0.02793941505481853,0.0,0.0,0.2514547354933668,0.11175766021927412,0.0,0.0,0.0,0.0,0.16763649032891118,0.0,0.5029094709867336
Delaware,2010,899647,2.2230941691574584,0.0,0.0,0.22230941691574585,0.0,0.0,0.6669282507472375,0.0,0.0,0.0,0.0,0.22230941691574585,0.0,0.0,0.0,0.0,0.22230941691574585,0.0,0.33346412537361875,0.11115470845787292,0.0,0.0,0.0,0.22230941691574585,0.0,0.0,0.0,0.11115470845787292,0.0,0.0,0.0,0.0,0.0,0.11115470845787292,0.0,0.33346412537361875
District of Columbia,2010,605282,9.582310394163382,0.0,0.0,0.16521224817523072,0.0,0.0,0.8260612408761535,0.0,0.0,0.0,0.0,5.121579693432152,0.0,0.0,0.0,0.4956367445256921,0.0,0.0,0.33042449635046145,0.4956367445256921,0.0,0.0,0.0,0.33042449635046145,0.33042449635046145,0.0,0.0,0.16521224817523072,0.0,0.0,0.0,0.0,0.0,1.1564857372266149,0.0,5.782428686133075
Florida,2010,18846143,0.7216330683684189,0.0,0.0,0.010612251005417926,0.0,0.0,0.24938789862732125,0.0,0.010612251005417926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005306125502708963,0.0,0.12204088656230615,0.0,0.0,0.0,0.0,0.01591837650812689,0.0,0.0,0.0,0.06897963153521652,0.010612251005417926,0.0,0.005306125502708963,0.0,0.0,0.06897963153521652,0.0,0.1538776395785599
Georgia,2010,9712209,0.1750374193965554,0.0,0.0,0.01029631878803267,0.0,0.0,0.06177791272819602,0.0,0.0,0.0,0.0,0.01029631878803267,0.0,0.01029631878803267,0.0,0.01029631878803267,0.0,0.0,0.02059263757606534,0.0,0.0,0.0,0.0,0.02059263757606534,0.0,0.0,0.0,0.0,0.01029631878803267,0.0,0.0,0.0,0.0,0.02059263757606534,0.0,0.01029631878803267
Idaho,2010,1570819,1.7825096335096533,0.0,0.0,0.06366105833963047,0.0,0.0,0.7639327000755657,0.0,0.0,0.0,0.0,0.12732211667926094,0.0,0.0,0.0,0.19098317501889142,0.06366105833963047,0.0,0.0,0.0,0.0,0.0,0.0,0.19098317501889142,0.0,0.0,0.0,0.06366105833963047,0.19098317501889142,0.0,0.0,0.0,0.0,0.19098317501889142,0.0,0.12732211667926094
Illinois,2010,12840545,0.7320561549373488,0.0,0.0,0.015575662871007421,0.0,0.0,0.24142277450061506,0.0,0.015575662871007421,0.0,0.0,0.12460530296805937,0.0,0.0,0.0,0.03893915717751856,0.023363494306511134,0.0,0.10902964009705196,0.007787831435503711,0.0,0.0,0.0,0.015575662871007421,0.0,0.0,0.0,0.031151325742014842,0.0,0.007787831435503711,0.0,0.0,0.0,0.07787831435503711,0.0,0.15575662871007423
Indiana,2010,6490555,1.4482582768345695,0.015407002945048614,0.0,0.030814005890097227,0.0,0.0,0.677908129582139,0.0,0.0,0.0,0.0,0.15407002945048612,0.0,0.0,0.0,0.1078490206153403,0.015407002945048614,0.0,0.09244201767029167,0.07703501472524306,0.0,0.0,0.0,0.07703501472524306,0.0,0.0,0.0,0.015407002945048614,0.030814005890097227,0.0,0.046221008835145835,0.0,0.0,0.07703501472524306,0.0,0.2619190500658264
Iowa,2010,3050819,0.5572274199157669,0.0,0.0,0.03277808352445687,0.0,0.0,0.262224668195655,0.0,0.0,0.0,0.0,0.09833425057337061,0.0,0.0,0.0,0.06555616704891375,0.0,0.0,0.0,0.03277808352445687,0.0,0.0,0.0,0.03277808352445687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16389041762228437
