state,year,population_estimate,total_incidents_per_capita,anti_american_indian_or_alaska_native_per_capita,anti_arab_per_capita,anti_asian_per_capita,anti_atheism_agnosticism_per_capita,anti_bisexual_per_capita,anti_black_or_african_american_per_capita,anti_buddhist_per_capita,anti_catholic_per_capita,anti_eastern_orthodox_russian_greek_other_per_capita,anti_female_per_capita,anti_gay_male_per_capita,anti_gender_non_conforming_per_capita,anti_heterosexual_per_capita,anti_hindu_per_capita,anti_hispanic_or_latino_per_capita,anti_islamic_muslim_per_capita,anti_jehovahs_witness_per_capita,anti_jewish_per_capita,anti_lesbian_female_per_capita,anti_male_per_capita,anti_mental_disability_per_capita,anti_mormon_per_capita,anti_multiple_races_group_per_capita,anti_multiple_religions_group_per_capita,anti_native_hawaiian_or_other_pacific_islander_per_capita,anti_other_christian_per_capita,anti_other_race_ethnicity_ancestry_per_capita,anti_other_religion_per_capita,anti_physical_disability_per_capita,anti_protestant_per_capita,anti_sikh_per_capita,anti_transgender_per_capita,anti_white_per_capita,unknown_motivation_per_capita,anti_lgbtq_grouped_per_capita
Alabama,2007,4672840,0.14980183357444296,0.0,0.0,0.021400261939206137,0.0,0.0,0.10700130969603068,0.0,0.0,0.0,0.0,0.021400261939206137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021400261939206137
Alaska,2007,680300,1.175951785976775,0.0,0.0,0.0,0.0,0.0,0.5879758929883875,0.0,0.0,0.0,0.0,0.29398794649419374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14699397324709687,0.0,0.14699397324709687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29398794649419374
Arizona,2007,6167681,2.610381438339629,0.016213549306457322,0.0,0.08106774653228661,0.0,0.0,0.9241723104680674,0.0,0.0,0.0,0.0,0.3891251833549757,0.0,0.0,0.0,0.29184388751623175,0.032427098612914644,0.0,0.24320323959685983,0.032427098612914644,0.0,0.0,0.0,0.21077614098394518,0.016213549306457322,0.0,0.0,0.17834904237103053,0.06485419722582929,0.016213549306457322,0.0,0.0,0.0,0.09728129583874393,0.0,0.4377658312743477
Arkansas,2007,2848650,1.1584434732241589,0.03510434767345936,0.0,0.10531304302037807,0.0,0.0,0.49146086742843104,0.0,0.0,0.0,0.0,0.14041739069383743,0.0,0.0,0.0,0.10531304302037807,0.0,0.0,0.03510434767345936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10531304302037807,0.0,0.28083478138767487
California,2007,36250311,3.8620358319132766,0.0027585970227951974,0.0,0.14896423923094065,0.005517194045590395,0.005517194045590395,1.3682641233064181,0.0,0.027585970227951978,0.0,0.0,0.3641348070089661,0.0,0.005517194045590395,0.0,0.44137552364723165,0.035861761296337565,0.0,0.37241059807735166,0.07172352259267513,0.0,0.0027585970227951974,0.0,0.1379298511397599,0.024827373205156777,0.0,0.0,0.26482531418833893,0.06620632854708473,0.005517194045590395,0.030344567250747172,0.0,0.0,0.2013775826640494,0.0,0.7199938229495466
Colorado,2007,4803868,3.2890162677242585,0.08326623462593061,0.0,0.14571591059537856,0.0,0.020816558656482652,0.957561698198202,0.0,0.0,0.0,0.0,0.43714773178613564,0.0,0.0,0.0,0.5620470837250315,0.08326623462593061,0.0,0.14571591059537856,0.08326623462593061,0.0,0.020816558656482652,0.0,0.08326623462593061,0.0,0.0,0.0,0.16653246925186121,0.062449675969447956,0.020816558656482652,0.0,0.0,0.0,0.2914318211907571,0.0,0.6661298770074449
Connecticut,2007,3527270,4.0824773833588015,0.05670107476887224,0.0,0.11340214953774448,0.0,0.0,1.4175268692218062,0.0,0.11340214953774448,0.0,0.0,0.2835053738443612,0.0,0.05670107476887224,0.0,0.1417526869221806,0.02835053738443612,0.0,0.7371139719953391,0.05670107476887224,0.0,0.0,0.0,0.19845376169105286,0.0,0.0,0.0,0.2551548364599251,0.05670107476887224,0.02835053738443612,0.02835053738443612,0.0,0.0,0.2835053738443612,0.0,0.5670107476887224
Delaware,2007,871749,5.620883992984219,0.0,0.0,0.0,0.0,0.0,2.638374119155858,0.0,0.0,0.0,0.0,0.3441357546725032,0.0,0.11471191822416775,0.0,1.0324072640175095,0.11471191822416775,0.0,0.3441357546725032,0.0,0.0,0.0,0.0,0.11471191822416775,0.0,0.0,0.0,0.0,0.2294238364483355,0.0,0.0,0.0,0.0,0.3441357546725032,0.0,0.6882715093450064
District of Columbia,2007,574404,7.137833301996505,0.0,0.0,0.0,0.0,0.0,0.34818699034129286,0.0,0.0,0.0,0.0,4.526430874436808,0.0,0.0,0.0,0.0,0.17409349517064643,0.0,1.0445609710238786,0.5222804855119393,0.0,0.0,0.0,0.17409349517064643,0.0,0.0,0.0,0.34818699034129286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048711359948747
Florida,2007,18367842,0.9037534186106347,0.0,0.0,0.010888595404947408,0.0,0.0,0.29943637363605374,0.0,0.005444297702473704,0.0,0.0,0.0,0.0,0.0,0.0,0.054442977024737035,0.005444297702473704,0.0,0.10344165634700038,0.0,0.0,0.0,0.0,0.027221488512368518,0.0,0.0,0.0,0.10344165634700038,0.021777190809894816,0.0,0.005444297702473704,0.0,0.0,0.1306631448593689,0.0,0.1361074425618426
