state,year,population_estimate,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
Mississippi,1991,2598733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Missouri,1991,5170800,136.0,0.0,0.0,7.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,11.0
Montana,1991,809680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1991,1595919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1991,1296171,16.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hampshire,1991,1109929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1991,7814676,894.0,0.0,6.0,87.0,0.0,0.0,340.0,0.0,9.0,0.0,0.0,13.0,0.0,0.0,0.0,26.0,7.0,0.0,229.0,2.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,132.0,0.0,17.0
New Mexico,1991,1555305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,1991,18122510,943.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,53.0,0.0,0.0,317.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,26.0,0.0,0.0,0.0,0.0,122.0,0.0,100.0
North Carolina,1991,6784280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1991,635753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1991,10945762,80.0,0.0,4.0,2.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0
Oklahoma,1991,3175440,99.0,2.0,13.0,3.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
Oregon,1991,2928507,296.0,1.0,11.0,22.0,2.0,0.0,84.0,0.0,1.0,0.0,0.0,35.0,0.0,1.0,0.0,35.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,49.0,0.0,49.0
Pennsylvania,1991,11982164,277.0,2.0,0.0,17.0,0.0,0.0,130.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0
Rhode Island,1991,1010649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1991,3570404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,1991,703669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,1991,4966587,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas,1991,17398005,95.0,0.0,1.0,6.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,10.0
Utah,1991,1779780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1991,568606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,1991,6301217,54.0,0.0,1.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0
Washington,1991,5025624,196.0,1.0,4.0,19.0,0.0,1.0,79.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,42.0
West Virginia,1991,1798735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1991,4964343,41.0,0.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0
Wyoming,1991,459260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1992,4154014,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alaska,1992,588736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1992,3915740,172.0,3.0,2.0,8.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,14.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,31.0
Arkansas,1992,2415984,38.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,5.0
California,1992,30974659,77.0,0.0,1.0,11.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,26.0
Colorado,1992,3495939,261.0,1.0,3.0,13.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,32.0,1.0,0.0,18.0,3.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,35.0,0.0,29.0
Connecticut,1992,3300712,63.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,12.0
Delaware,1992,694925,47.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0
District of Columbia,1992,597565,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0
Florida,1992,13650553,333.0,1.0,0.0,1.0,0.0,1.0,111.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,22.0,0.0,0.0,36.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,17.0,6.0,0.0,2.0,0.0,0.0,86.0,0.0,44.0
Georgia,1992,6817203,66.0,1.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,25.0
Hawaii,1992,1158613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1992,1071685,54.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0
Illinois,1992,11694184,267.0,1.0,13.0,8.0,0.0,1.0,91.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,7.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,37.0
Indiana,1992,5674547,20.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
Iowa,1992,2818401,36.0,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0
Kansas,1992,2532394,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky,1992,3765469,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Louisiana,1992,4293003,13.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Maine,1992,1238508,19.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
Maryland,1992,4923368,492.0,2.0,0.0,27.0,0.0,0.0,214.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,0.0,14.0,0.0,0.0,48.0,1.0,0.0,0.0,0.0,29.0,3.0,0.0,0.0,7.0,7.0,0.0,5.0,0.0,0.0,106.0,0.0,24.0
Massachusetts,1992,6028709,424.0,1.0,4.0,35.0,0.0,0.0,133.0,0.0,2.0,0.0,0.0,39.0,0.0,0.0,0.0,51.0,0.0,0.0,63.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,63.0
Michigan,1992,9479065,122.0,1.0,5.0,3.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0
Minnesota,1992,4495572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1992,2623734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1992,5217101,158.0,0.0,3.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,14.0
Montana,1992,825770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1992,1611687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1992,1351367,23.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
New Hampshire,1992,1117784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,1992,7880508,1113.0,0.0,5.0,33.0,0.0,1.0,398.0,0.0,4.0,0.0,0.0,25.0,0.0,0.0,0.0,61.0,11.0,0.0,314.0,3.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,70.0,11.0,0.0,2.0,0.0,0.0,145.0,0.0,31.0
New Mexico,1992,1595442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,1992,18246653,1112.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,58.0,0.0,0.0,359.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,21.0,0.0,0.0,0.0,0.0,207.0,0.0,115.0
