state,year,population_estimate,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
Vermont,1997,597239,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,1997,6829183,105.0,0.0,2.0,1.0,0.0,1.0,49.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,10.0
Washington,1997,5674747,190.0,2.0,3.0,11.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,15.0,0.0,45.0
West Virginia,1997,1819113,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wisconsin,1997,5266213,50.0,1.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,10.0
Wyoming,1997,489451,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Alabama,1998,4404701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1998,619932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1998,4883342,283.0,4.0,0.0,6.0,0.0,0.0,103.0,0.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,28.0,1.0,0.0,31.0,16.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,4.0,7.0,1.0,3.0,0.0,0.0,13.0,0.0,56.0
Arkansas,1998,2626289,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
California,1998,32987675,1749.0,5.0,0.0,135.0,0.0,0.0,509.0,0.0,13.0,0.0,0.0,307.0,0.0,1.0,0.0,126.0,4.0,0.0,175.0,58.0,0.0,0.0,0.0,140.0,2.0,0.0,0.0,72.0,17.0,3.0,14.0,0.0,0.0,147.0,0.0,386.0
Colorado,1998,4116639,131.0,0.0,1.0,3.0,0.0,1.0,52.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,19.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,19.0,0.0,17.0
Connecticut,1998,3365352,111.0,0.0,0.0,4.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,13.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,14.0
Delaware,1998,763335,19.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
District of Columbia,1998,565230,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Florida,1998,15486559,179.0,0.0,0.0,2.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,1.0,0.0,3.0,0.0,0.0,27.0,0.0,26.0
Georgia,1998,7863536,34.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Hawaii,1998,1215233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1998,1252330,56.0,2.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,8.0
Illinois,1998,12271847,277.0,1.0,7.0,9.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,13.0,1.0,0.0,12.0,5.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,5.0,4.0,2.0,1.0,0.0,0.0,45.0,0.0,49.0
Indiana,1998,5998880,50.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0
Iowa,1998,2902872,42.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0
Kansas,1998,2660598,54.0,0.0,0.0,2.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0
Kentucky,1998,3985390,48.0,0.0,0.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,8.0
Louisiana,1998,4440344,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Maine,1998,1259127,57.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0
Maryland,1998,5204464,282.0,0.0,0.0,14.0,0.0,0.0,145.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,19.0,4.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,44.0,0.0,11.0
Massachusetts,1998,6271838,443.0,5.0,2.0,22.0,0.0,0.0,140.0,0.0,3.0,0.0,0.0,72.0,0.0,0.0,0.0,57.0,0.0,0.0,61.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,53.0,0.0,91.0
Michigan,1998,9847942,392.0,3.0,0.0,4.0,0.0,3.0,152.0,0.0,5.0,0.0,0.0,17.0,0.0,1.0,0.0,11.0,6.0,0.0,16.0,18.0,0.0,1.0,0.0,9.0,3.0,0.0,0.0,13.0,34.0,1.0,3.0,0.0,0.0,66.0,0.0,64.0
Minnesota,1998,4813412,248.0,8.0,0.0,13.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,39.0,0.0,2.0,0.0,12.0,2.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,30.0,0.0,50.0
Mississippi,1998,2804834,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Missouri,1998,5521765,120.0,1.0,0.0,2.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,11.0
Montana,1998,892431,22.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0
Nebraska,1998,1695816,52.0,1.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0
Nevada,1998,1853191,60.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,7.0
New Hampshire,1998,1205940,16.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
New Jersey,1998,8287418,757.0,1.0,1.0,15.0,0.0,1.0,285.0,0.0,23.0,0.0,0.0,22.0,0.0,0.0,0.0,36.0,2.0,0.0,250.0,16.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,34.0,8.0,3.0,2.0,0.0,0.0,41.0,0.0,44.0
New Mexico,1998,1793484,31.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0
New York,1998,18755906,776.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,47.0,0.0,0.0,291.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,0.0,0.0,0.0,0.0,60.0,0.0,129.0
North Carolina,1998,7809121,39.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,4.0
North Dakota,1998,647532,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ohio,1998,11311536,254.0,0.0,4.0,5.0,1.0,0.0,143.0,0.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,5.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,32.0
Oklahoma,1998,3405194,57.0,2.0,0.0,1.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,6.0
Oregon,1998,3352449,101.0,0.0,0.0,5.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,17.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,26.0
Pennsylvania,1998,12245672,164.0,2.0,2.0,10.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0
Rhode Island,1998,1031155,29.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
South Carolina,1998,3919235,66.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,4.0
South Dakota,1998,746058,19.0,4.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0
Tennessee,1998,5570045,73.0,2.0,0.0,2.0,0.0,3.0,28.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,17.0,0.0,7.0
Texas,1998,20157531,301.0,1.0,2.0,10.0,0.0,1.0,131.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,28.0,1.0,0.0,9.0,11.0,0.0,3.0,0.0,8.0,6.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,31.0,0.0,59.0
Utah,1998,2165960,67.0,0.0,0.0,2.0,0.0,1.0,16.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,9.0,0.0,8.0
Vermont,1998,600416,13.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0
Virginia,1998,6900918,158.0,0.0,1.0,3.0,1.0,0.0,66.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,6.0,8.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,29.0,0.0,8.0
Washington,1998,5769562,223.0,3.0,5.0,7.0,0.0,2.0,94.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,13.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,8.0,4.0,1.0,1.0,0.0,0.0,13.0,0.0,42.0
West Virginia,1998,1815609,21.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Wisconsin,1998,5297672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1998,490787,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,1999,4430141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,1999,624779,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Arizona,1999,5023823,252.0,1.0,2.0,10.0,0.0,0.0,93.0,0.0,2.0,0.0,0.0,37.0,0.0,0.0,0.0,24.0,2.0,0.0,25.0,4.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,43.0
Arkansas,1999,2651860,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
California,1999,33499204,1949.0,5.0,0.0,126.0,0.0,0.0,600.0,0.0,8.0,0.0,0.0,339.0,0.0,0.0,0.0,162.0,5.0,0.0,280.0,67.0,0.0,0.0,0.0,72.0,3.0,0.0,0.0,82.0,27.0,2.0,15.0,0.0,0.0,127.0,0.0,436.0
Colorado,1999,4226018,155.0,1.0,1.0,7.0,0.0,0.0,60.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,17.0,4.0,0.0,9.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,26.0
Connecticut,1999,3386401,138.0,0.0,0.0,5.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,4.0,0.0,0.0,29.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,24.0
Delaware,1999,774990,37.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0
District of Columbia,1999,570213,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
Florida,1999,15759421,267.0,0.0,0.0,2.0,0.0,0.0,98.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,27.0,4.0,0.0,1.0,0.0,0.0,41.0,0.0,45.0
Georgia,1999,8045965,36.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,4.0,0.0,8.0
Hawaii,1999,1210300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,1999,1275674,34.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0
Illinois,1999,12359020,247.0,1.0,1.0,10.0,0.0,0.0,119.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,11.0,0.0,0.0,24.0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,29.0
Indiana,1999,6044969,113.0,0.0,0.0,3.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,4.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0
Iowa,1999,2917634,31.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
Kansas,1999,2678338,41.0,0.0,0.0,2.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
Kentucky,1999,4018053,71.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,8.0
Louisiana,1999,4460811,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Maine,1999,1266808,22.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
Maryland,1999,5254509,230.0,0.0,0.0,6.0,1.0,0.0,130.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,22.0,0.0,25.0
Massachusetts,1999,6317345,448.0,3.0,2.0,22.0,0.0,0.0,172.0,0.0,4.0,0.0,0.0,74.0,0.0,0.0,0.0,33.0,0.0,0.0,65.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,1.0,0.0,0.0,36.0,0.0,92.0
Michigan,1999,9897116,412.0,4.0,2.0,6.0,1.0,14.0,159.0,0.0,1.0,0.0,0.0,26.0,0.0,4.0,0.0,14.0,7.0,0.0,15.0,9.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,26.0,12.0,0.0,1.0,0.0,0.0,81.0,0.0,60.0
Minnesota,1999,4873481,226.0,9.0,0.0,12.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,37.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,34.0,0.0,52.0
Mississippi,1999,2828408,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,1999,5561948,84.0,0.0,0.0,4.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0
Montana,1999,897507,28.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0
Nebraska,1999,1704764,35.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0
Nevada,1999,1934718,75.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0
New Hampshire,1999,1222014,20.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
New Jersey,1999,8359592,617.0,0.0,0.0,14.0,0.0,1.0,249.0,0.0,2.0,0.0,0.0,20.0,0.0,2.0,0.0,42.0,5.0,0.0,171.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,35.0,10.0,0.0,3.0,0.0,0.0,39.0,0.0,37.0
New Mexico,1999,1808082,16.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
New York,1999,18882725,590.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,23.0,0.0,0.0,240.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,26.0,0.0,0.0,0.0,0.0,31.0,0.0,84.0
North Carolina,1999,7949361,31.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
