state,year,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
Virginia,1994,95,0,2,3,0,0,43,0,0,0,0,5,0,1,0,2,0,0,15,0,0,0,0,4,0,0,0,3,3,0,1,0,0,13,0,5
Washington,1994,281,1,2,22,0,1,107,0,0,0,0,23,0,0,0,20,1,0,22,8,0,0,0,15,3,0,0,12,2,0,0,0,0,34,0,40
Wisconsin,1994,40,0,0,5,0,0,15,0,0,0,0,4,0,0,0,1,0,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,6
Wyoming,1994,6,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Alaska,1995,8,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Arizona,1995,220,1,4,9,0,0,89,0,3,0,0,36,0,0,0,16,0,0,18,3,0,0,0,8,0,0,0,3,2,0,1,0,0,27,0,39
Arkansas,1995,7,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,1995,1751,1,0,142,0,1,568,0,4,0,0,251,0,1,0,158,8,0,174,50,0,0,0,81,7,0,0,73,18,0,8,0,0,195,0,315
Colorado,1995,149,2,7,15,0,1,46,0,1,0,0,11,0,2,0,15,1,0,17,0,0,0,0,7,1,0,0,6,1,0,1,0,0,13,0,14
Connecticut,1995,87,0,0,2,0,0,22,0,1,0,0,12,0,0,0,2,1,0,31,0,0,0,0,0,0,0,0,5,0,0,1,0,0,10,0,12
Delaware,1995,45,0,0,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12,0,4
District of Columbia,1995,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Florida,1995,164,0,0,0,0,0,70,0,0,0,0,13,0,1,0,9,0,0,18,2,0,0,0,5,0,0,0,8,5,0,1,0,0,32,0,15
Georgia,1995,49,0,0,1,0,0,14,0,0,0,0,16,0,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23
Idaho,1995,114,1,0,2,0,0,25,0,1,0,0,5,0,0,0,40,0,0,1,0,0,0,0,12,0,0,0,4,6,0,1,0,0,14,0,8
Illinois,1995,146,1,5,4,0,0,52,0,0,0,0,17,0,1,0,3,2,0,18,2,0,0,0,0,0,0,0,5,0,0,0,0,0,36,0,19
Indiana,1995,35,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,3,1,0,0,0,0,3,0,7
Iowa,1995,29,0,2,1,0,0,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1
Kentucky,1995,81,0,0,4,0,0,40,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25,0,4
Louisiana,1995,7,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Maine,1995,75,0,0,3,0,0,31,0,0,0,0,21,0,0,0,2,1,0,5,4,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,26
Maryland,1995,353,1,1,8,0,0,169,0,3,0,0,3,0,0,0,3,0,0,41,3,0,0,0,22,0,0,0,9,6,0,4,0,0,79,0,7
Massachusetts,1995,333,1,3,26,0,0,123,0,2,0,0,21,0,0,0,46,0,0,35,7,0,0,0,0,0,0,0,5,1,0,2,0,0,60,0,29
Michigan,1995,407,7,8,12,0,2,161,0,2,0,0,23,0,1,0,18,3,0,18,2,0,0,0,10,2,0,0,21,4,0,2,0,0,100,0,38
Minnesota,1995,285,10,0,19,0,0,124,0,3,0,0,28,0,4,0,0,0,0,14,6,0,0,0,0,0,0,0,0,3,0,1,0,0,74,0,34
Mississippi,1995,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Missouri,1995,135,0,0,3,0,1,74,0,0,0,0,13,0,0,0,4,1,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0,16
Montana,1995,11,0,0,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2
Nevada,1995,68,0,0,4,1,0,28,0,1,0,0,6,0,0,0,2,0,0,4,0,0,0,0,4,1,0,0,2,0,0,0,0,0,14,0,7
New Hampshire,1995,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
New Jersey,1995,768,1,14,21,0,6,321,0,4,0,0,18,0,1,0,37,2,0,217,4,0,0,0,8,0,0,0,23,10,0,2,0,0,76,0,31
New Mexico,1995,24,2,0,2,0,0,4,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,6,0,3
New York,1995,845,0,0,0,0,0,241,0,0,0,0,68,0,0,0,44,0,0,296,22,0,0,0,0,0,0,0,37,23,0,0,0,0,93,0,111
North Carolina,1995,52,0,0,1,0,0,30,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,2,0,0,10,0,3
North Dakota,1995,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,1995,266,0,1,5,0,0,126,0,0,0,0,13,0,0,0,5,1,0,7,8,0,0,0,2,1,0,0,6,2,0,0,0,0,81,0,29
Oklahoma,1995,37,3,1,2,0,0,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9,0,2
Oregon,1995,152,1,2,16,0,1,48,0,0,0,0,28,0,0,0,15,0,0,8,7,0,0,0,4,1,0,0,5,0,0,0,0,0,11,0,41
Pennsylvania,1995,284,0,1,18,0,0,137,0,0,0,0,3,0,0,0,28,1,0,24,4,0,0,0,5,1,0,0,7,0,0,2,0,0,53,0,7
Rhode Island,1995,46,0,0,2,0,0,11,0,0,0,0,4,0,0,0,2,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,8
South Carolina,1995,26,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,2
South Dakota,1995,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Tennessee,1995,25,1,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1
Texas,1995,326,0,4,10,0,0,139,0,1,0,0,44,0,0,0,33,5,0,20,4,0,0,0,11,0,0,0,4,1,0,0,0,0,46,0,52
Utah,1995,107,3,0,1,0,4,19,0,0,0,0,7,0,1,0,7,1,0,2,1,0,0,0,9,0,0,0,5,4,0,0,0,0,40,0,15
Vermont,1995,10,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
Virginia,1995,51,0,0,0,0,0,27,0,2,0,0,0,0,0,0,1,0,0,14,0,0,0,0,3,1,0,0,1,1,0,0,0,0,1,0,0
Washington,1995,266,3,1,18,0,1,97,0,0,0,0,44,0,2,0,17,0,0,18,6,0,0,0,10,2,0,0,5,7,0,7,0,0,25,0,55
Wisconsin,1995,45,0,0,0,0,0,17,0,0,0,0,8,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,9
Wyoming,1995,19,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1
Alaska,1996,9,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Arizona,1996,250,2,2,5,0,0,109,0,0,0,0,28,0,0,0,26,0,0,31,5,0,0,0,9,0,0,0,4,4,0,1,0,0,22,0,35
Arkansas,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
California,1996,2052,5,0,153,0,3,759,0,5,0,0,308,0,1,0,167,9,0,166,45,0,0,0,69,3,0,0,90,11,0,33,0,0,220,0,361
Colorado,1996,133,1,0,4,0,0,72,0,0,0,0,5,0,0,0,13,2,0,6,1,0,0,0,0,0,0,0,7,1,0,4,0,0,14,0,9
Connecticut,1996,114,1,0,2,0,1,49,0,2,0,0,9,0,0,0,8,0,0,18,2,0,0,0,0,0,0,0,2,0,0,4,0,0,16,0,12
Delaware,1996,67,0,0,0,0,0,37,0,1,0,0,4,0,0,0,2,0,0,5,0,0,0,0,2,0,0,0,2,1,0,0,0,0,12,0,5
District of Columbia,1996,16,0,0,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
Florida,1996,187,0,0,2,0,0,80,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,5,0,0,0,19,1,0,8,0,0,49,0,6
Georgia,1996,28,0,0,0,0,0,6,0,3,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,10
Idaho,1996,72,1,1,2,0,0,14,0,0,0,0,3,0,0,0,20,0,0,6,0,0,0,0,3,2,0,0,0,3,0,0,0,0,14,0,6
Illinois,1996,348,5,11,11,0,1,163,0,3,0,0,18,0,0,0,20,2,0,30,3,0,0,0,11,0,0,0,8,3,0,1,0,0,58,0,23
Indiana,1996,36,0,0,3,0,0,12,0,0,0,0,4,0,0,0,6,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,6
Iowa,1996,43,0,0,5,0,0,29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,1
Kansas,1996,28,1,0,1,0,0,13,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,7
Kentucky,1996,109,0,0,1,0,0,54,0,2,0,0,2,0,1,0,3,0,0,0,1,0,0,0,6,3,0,0,2,2,0,2,0,0,27,0,6
Louisiana,1996,6,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Maine,1996,58,1,0,8,0,0,24,0,0,0,0,10,0,0,0,2,0,0,2,3,0,0,0,3,0,0,0,0,3,0,1,0,0,1,0,13
Maryland,1996,387,1,1,11,0,0,217,0,1,0,0,6,0,0,0,4,1,0,47,0,0,0,0,22,3,0,0,4,3,0,2,0,0,61,0,9
Massachusetts,1996,456,2,3,27,0,0,180,0,1,0,0,42,0,0,0,60,0,0,52,7,0,0,0,0,0,0,0,11,5,0,1,0,0,62,0,52
Michigan,1996,514,6,0,11,1,1,193,0,4,0,0,23,0,3,0,24,3,0,12,8,0,0,0,16,4,0,0,38,42,0,3,0,0,109,0,45
Minnesota,1996,268,4,0,24,0,0,116,0,1,0,0,41,0,3,0,0,0,0,8,9,0,0,0,0,0,0,0,0,2,0,0,0,0,60,0,50
Mississippi,1996,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Missouri,1996,150,1,0,5,0,0,85,0,0,0,0,9,0,0,0,6,1,0,2,0,0,0,0,3,1,0,0,3,0,0,1,0,0,32,0,10
Montana,1996,10,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
Nebraska,1996,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,1996,44,0,0,1,0,0,23,0,0,0,0,3,0,0,0,2,0,0,4,1,0,0,0,2,0,0,0,1,1,0,0,0,0,6,0,4
New Hampshire,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,1996,839,0,4,12,0,1,378,0,7,0,0,21,0,3,0,45,4,0,234,10,0,0,0,7,0,0,0,41,11,0,2,0,0,52,0,39
New Mexico,1996,44,0,0,2,0,1,9,0,0,0,0,5,0,0,0,3,0,0,6,4,0,0,0,3,0,0,0,1,3,0,0,0,0,5,0,12
New York,1996,903,0,0,0,0,0,269,0,0,0,0,53,0,0,0,50,0,0,339,10,0,0,0,0,0,0,0,68,33,0,0,0,0,72,0,72
North Carolina,1996,34,0,2,0,0,0,22,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,2
North Dakota,1996,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,1996,234,0,0,5,0,0,133,0,0,0,0,21,0,0,0,5,0,0,11,2,0,0,0,4,0,0,0,7,1,0,0,0,0,43,0,26
Oklahoma,1996,83,1,2,5,0,0,47,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,3,0,4,0,0,13,0,2
Oregon,1996,172,2,3,9,1,0,57,0,0,0,0,29,0,3,0,14,1,0,13,9,0,0,0,7,1,0,0,5,1,0,3,0,0,11,0,41
Pennsylvania,1996,205,2,1,9,0,0,99,0,0,0,0,8,0,0,0,12,0,0,39,0,0,0,0,1,1,0,0,2,2,0,4,0,0,25,0,8
Rhode Island,1996,40,0,0,2,0,0,16,0,0,0,0,5,0,0,0,2,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,6
South Carolina,1996,43,2,0,1,0,0,24,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,5,0,3
South Dakota,1996,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tennessee,1996,33,0,0,0,0,0,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,7,0,2
Texas,1996,350,0,3,6,0,1,175,0,0,0,0,45,0,0,0,36,2,0,8,13,0,0,0,8,0,0,0,6,0,0,0,0,0,44,0,62
Utah,1996,59,4,2,1,0,0,14,0,3,0,0,2,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0,3,7,0,0,0,0,9,0,2
Vermont,1996,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Virginia,1996,100,0,1,2,0,0,62,0,0,0,0,2,0,0,0,2,0,0,8,1,0,0,0,2,2,0,0,3,2,0,0,0,0,11,0,5
Washington,1996,198,7,2,15,0,0,80,0,1,0,0,21,0,1,0,14,0,0,18,8,0,0,0,3,0,0,0,6,5,0,0,0,0,15,0,31
West Virginia,1996,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Wisconsin,1996,43,0,0,10,0,0,13,0,0,0,0,1,0,0,0,1,1,0,3,2,0,0,0,4,1,0,0,0,0,0,0,0,0,7,0,4
Wyoming,1996,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Alaska,1997,10,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Arizona,1997,330,3,2,8,0,0,123,0,2,0,0,44,0,0,0,36,3,0,26,5,0,0,0,19,1,0,0,4,6,0,4,0,0,38,0,55
California,1997,1831,2,0,160,1,0,630,0,0,0,0,284,0,1,0,141,1,0,212,57,0,0,0,73,1,0,0,78,6,2,21,0,0,147,0,355
Colorado,1997,115,1,0,6,0,1,35,0,1,0,0,6,0,1,0,23,0,0,10,1,0,0,0,3,0,0,0,4,1,0,0,0,0,16,0,14
Connecticut,1997,113,1,0,1,0,0,47,0,0,0,0,3,0,0,0,5,1,0,17,0,0,0,0,7,1,0,0,6,1,2,0,0,0,21,0,3
Delaware,1997,58,0,0,1,0,0,33,0,0,0,0,4,0,0,0,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
District of Columbia,1997,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Florida,1997,127,0,0,1,0,0,65,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,6,1,0,1,0,0,18,0,19
Georgia,1997,45,0,0,2,0,0,19,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,19
Idaho,1997,46,2,0,1,0,0,7,0,2,0,0,1,0,1,0,11,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,14,0,4
Illinois,1997,339,0,5,6,1,0,153,0,0,0,0,30,0,2,0,9,1,0,19,5,0,0,0,11,0,0,0,9,2,1,1,0,0,76,0,43
Indiana,1997,62,0,0,1,0,0,30,0,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,1,2,0,0,2,2,1,0,0,0,10,0,9
Iowa,1997,55,0,0,3,0,0,32,0,1,0,0,7,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,10
Kansas,1997,55,1,0,2,0,0,25,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,9,0,9
Kentucky,1997,48,0,0,0,0,1,31,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,7,0,2
Louisiana,1997,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Maine,1997,57,1,0,4,0,0,19,0,1,0,0,16,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,24
Maryland,1997,323,1,0,11,0,0,153,0,1,0,0,7,0,0,0,5,2,0,37,1,0,0,0,16,1,0,0,9,3,0,7,0,0,66,0,11
Massachusetts,1997,444,2,4,26,0,0,174,0,3,0,0,41,0,0,0,43,0,0,65,11,0,0,0,0,0,0,0,11,6,0,0,0,0,54,0,56
Michigan,1997,463,9,6,5,1,3,167,0,1,0,0,14,0,2,0,27,8,0,17,8,0,0,0,12,7,0,0,31,38,0,2,0,0,90,0,40
Minnesota,1997,214,3,0,17,0,0,93,0,2,0,0,23,0,1,0,0,2,0,6,7,0,0,0,0,0,0,0,5,6,0,0,0,0,49,0,30
Missouri,1997,158,0,0,2,0,0,89,0,0,0,0,10,0,1,0,5,0,0,8,3,0,0,0,5,3,0,0,2,0,0,0,0,0,27,0,16
Montana,1997,15,1,1,0,0,0,3,0,0,0,0,5,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Nebraska,1997,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nevada,1997,45,0,0,3,0,0,18,0,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,9,0,6
New Jersey,1997,694,0,6,25,0,0,287,0,9,0,0,23,0,2,0,37,0,0,190,15,0,0,0,12,0,0,0,32,16,0,2,0,0,36,0,40
New Mexico,1997,24,0,0,2,0,1,8,0,0,0,0,3,0,0,0,3,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,6
New York,1997,853,0,0,0,0,0,212,0,0,0,0,57,0,0,0,55,0,0,345,16,0,0,0,0,0,0,0,74,34,0,0,0,0,54,0,79
North Carolina,1997,42,0,0,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,7,0,7
North Dakota,1997,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,1997,265,0,1,5,0,0,131,0,0,0,0,20,0,0,0,4,5,0,8,9,0,0,0,3,0,0,0,6,2,0,0,0,0,64,0,36
Oklahoma,1997,41,1,0,0,0,0,25,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,6,0,5
Oregon,1997,105,1,0,4,0,0,29,0,2,0,0,20,0,0,0,6,0,0,10,10,0,0,0,2,0,0,0,7,2,1,0,0,0,10,0,31
Pennsylvania,1997,163,0,2,4,0,0,90,0,1,0,0,4,0,0,0,10,0,0,24,0,0,0,0,2,0,0,0,1,4,0,1,0,0,20,0,4
Rhode Island,1997,43,0,0,4,0,0,18,0,0,0,0,8,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,11
South Carolina,1997,71,0,0,1,0,1,44,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,13,0,3
South Dakota,1997,34,3,0,2,0,0,7,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,1,0,1,0,0,9,0,2
Tennessee,1997,57,0,0,1,0,0,23,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,27,0,1
Texas,1997,338,0,2,11,0,0,157,0,0,0,0,37,0,0,0,23,1,0,20,6,0,1,0,7,2,0,0,4,2,1,7,0,0,46,0,55
Utah,1997,52,2,0,1,0,0,12,0,2,0,0,6,0,0,0,5,0,0,3,1,0,0,0,1,0,0,0,6,7,0,0,0,0,5,0,8
Vermont,1997,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Virginia,1997,105,0,2,1,0,1,49,0,1,0,0,7,0,0,0,4,1,0,8,2,0,0,0,3,3,0,0,1,4,0,0,0,0,18,0,10
Washington,1997,190,2,3,11,0,1,60,0,0,0,0,28,0,0,0,17,0,0,17,15,0,0,0,9,0,0,0,3,4,0,4,0,0,15,0,45
West Virginia,1997,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,1997,50,1,0,12,0,0,12,0,0,0,0,7,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,9,0,10
Wyoming,1997,6,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Arizona,1998,283,4,0,6,0,0,103,0,2,0,0,33,0,0,0,28,1,0,31,16,0,0,0,23,2,0,0,4,7,1,3,0,0,13,0,56
Arkansas,1998,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
California,1998,1749,5,0,135,0,0,509,0,13,0,0,307,0,1,0,126,4,0,175,58,0,0,0,140,2,0,0,72,17,3,14,0,0,147,0,386
Colorado,1998,131,0,1,3,0,1,52,0,1,0,0,7,0,0,0,19,0,0,4,4,0,1,0,5,3,0,0,3,1,0,2,0,0,19,0,17
Connecticut,1998,111,0,0,4,0,0,51,0,1,0,0,10,0,0,0,7,0,0,13,3,0,1,0,5,0,0,0,6,1,1,1,0,0,7,0,14
Delaware,1998,19,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6
District of Columbia,1998,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Florida,1998,179,0,0,2,0,0,75,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,3,0,0,0,19,1,0,3,0,0,27,0,26
Georgia,1998,34,0,0,1,0,0,17,0,0,0,0,8,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9
Idaho,1998,56,2,0,2,0,0,13,0,0,0,0,5,0,0,0,12,0,0,4,2,0,0,0,6,0,0,0,1,2,0,2,0,0,4,0,8
Illinois,1998,277,1,7,9,0,0,119,0,0,0,0,38,0,1,0,13,1,0,12,5,0,3,0,4,1,0,0,5,4,2,1,0,0,45,0,49
Indiana,1998,50,0,0,1,0,0,27,0,0,0,0,2,0,2,0,2,1,0,4,1,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,5
Iowa,1998,42,0,0,1,0,0,22,0,1,0,0,5,0,0,0,3,0,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,7
Kansas,1998,54,0,0,2,0,0,34,0,0,0,0,5,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
Kentucky,1998,48,0,0,2,0,0,26,0,0,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,8
Louisiana,1998,10,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Maine,1998,57,0,0,2,0,0,18,0,0,0,0,18,0,0,0,1,0,0,6,5,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,25
Maryland,1998,282,0,0,14,0,0,145,0,2,0,0,10,0,0,0,1,0,0,34,1,0,0,0,19,4,0,0,1,3,0,4,0,0,44,0,11
Massachusetts,1998,443,5,2,22,0,0,140,0,3,0,0,72,0,0,0,57,0,0,61,16,0,0,0,0,0,0,0,5,4,0,1,0,0,53,0,91
Michigan,1998,392,3,0,4,0,3,152,0,5,0,0,17,0,1,0,11,6,0,16,18,0,1,0,9,3,0,0,13,34,1,3,0,0,66,0,64
Minnesota,1998,248,8,0,13,0,0,115,0,0,0,0,39,0,2,0,12,2,0,13,11,0,0,0,0,0,0,0,0,2,0,1,0,0,30,0,50
Mississippi,1998,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Missouri,1998,120,1,0,2,0,0,75,0,0,0,0,7,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,21,0,11
Montana,1998,22,5,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,1,1,0,1,0,0,3,0,1
