state,year,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
Delaware,1992,47,0,0,0,0,0,17,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,22
District of Columbia,1992,14,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
Florida,1992,333,1,0,1,0,1,111,0,0,0,0,40,0,1,0,22,0,0,36,3,0,0,0,6,0,0,0,17,6,0,2,0,0,86,0,44
Georgia,1992,66,1,0,2,0,0,12,0,0,0,0,24,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,22,0,25
Idaho,1992,54,0,0,2,0,0,16,0,0,0,0,5,0,0,0,8,0,0,5,1,0,0,0,1,0,0,0,0,5,0,0,0,0,11,0,6
Illinois,1992,267,1,13,8,0,1,91,0,0,0,0,30,0,0,0,7,0,0,16,6,0,0,0,1,0,0,0,8,0,0,0,0,0,85,0,37
Indiana,1992,20,0,0,1,0,0,10,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
Iowa,1992,36,0,0,5,0,0,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,10
Kansas,1992,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,1992,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Louisiana,1992,13,0,0,1,0,0,5,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Maine,1992,19,0,0,0,0,0,6,0,0,0,0,5,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
Maryland,1992,492,2,0,27,0,0,214,0,6,0,0,16,0,0,0,14,0,0,48,1,0,0,0,29,3,0,0,7,7,0,5,0,0,106,0,24
Massachusetts,1992,424,1,4,35,0,0,133,0,2,0,0,39,0,0,0,51,0,0,63,18,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,63
Michigan,1992,122,1,5,3,0,0,51,0,0,0,0,1,0,0,0,2,0,0,12,1,0,0,0,3,0,0,0,8,2,0,0,0,0,33,0,2
Missouri,1992,158,0,3,1,0,0,77,0,0,0,0,4,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,60,0,14
Nevada,1992,23,0,0,1,0,0,5,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,10,0,1
New Jersey,1992,1113,0,5,33,0,1,398,0,4,0,0,25,0,0,0,61,11,0,314,3,0,0,0,27,1,0,0,70,11,0,2,0,0,145,0,31
New York,1992,1112,0,0,0,0,0,282,0,0,0,0,97,0,0,0,58,0,0,359,18,0,0,0,0,0,0,0,70,21,0,0,0,0,207,0,115
North Carolina,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
North Dakota,1992,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,1992,105,0,0,1,0,0,34,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,58,0,3
Oklahoma,1992,147,1,5,2,0,0,66,0,0,0,0,2,0,0,0,5,0,0,13,0,0,0,0,12,2,0,0,0,0,0,3,0,0,35,0,3
Oregon,1992,376,8,6,17,0,0,118,0,1,0,0,50,0,8,0,37,0,0,16,13,0,0,0,9,3,0,0,7,3,0,9,0,0,57,0,77
Pennsylvania,1992,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,1992,48,0,0,1,0,0,20,0,1,0,0,3,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,2,0,0,0,0,0,11,0,6
South Carolina,1992,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Tennessee,1992,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Texas,1992,487,1,12,14,0,0,201,0,0,0,0,45,0,0,0,23,2,0,34,4,0,0,0,12,1,0,0,11,1,0,2,0,0,114,0,59
